Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,30,36,35,"3,136",22,3,2,2,3,1,0.63,0.09,0.72,0.57,0.66,15.0,14.2,2.8,0.44,0.08,0.53,0.42,0.50,Matches
David Luiz,br BRA,DF,32,33,32,"2,809",2,1,0,0,5,2,0.06,0.03,0.10,0.06,0.10,1.8,1.8,1.0,0.06,0.03,0.09,0.06,0.09,Matches
Bernd Leno,de GER,GK,27,30,30,"2,649",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Granit Xhaka,ch SUI,MF,26,31,30,"2,586",1,2,0,0,10,0,0.03,0.07,0.10,0.03,0.10,0.4,0.4,1.1,0.01,0.04,0.05,0.01,0.05,Matches
Nicolas Pépé,ci CIV,FW,24,31,22,"2,010",5,6,1,1,4,0,0.22,0.27,0.49,0.18,0.45,4.5,3.8,4.2,0.21,0.20,0.41,0.18,0.37,Matches
Alexandre Lacazette,fr FRA,FW,28,30,22,"1,874",10,4,0,0,8,0,0.48,0.19,0.67,0.48,0.67,8.1,8.1,2.9,0.40,0.14,0.54,0.40,0.54,Matches
Bukayo Saka,eng ENG,"DF,FW",17,26,19,"1,753",1,5,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.4,0.07,0.18,0.24,0.07,0.24,Matches
Mattéo Guendouzi,fr FRA,MF,20,24,19,"1,748",0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.1,0.03,0.06,0.09,0.03,0.09,Matches
Sead Kolašinac,ba BIH,DF,26,26,19,"1,701",0,2,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,1.0,0.04,0.06,0.10,0.04,0.10,Matches
Sokratis Papastathopoulos,gr GRE,DF,31,19,19,"1,696",2,0,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
Dani Ceballos,es ESP,MF,22,24,18,"1,692",0,2,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.8,0.03,0.10,0.13,0.03,0.13,Matches
Mesut Özil,de GER,MF,30,18,18,"1,438",1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.4,1.4,2.3,0.09,0.14,0.23,0.09,0.23,Matches
Lucas Torreira,uy URU,MF,23,29,17,"1,512",1,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.1,0.10,0.07,0.16,0.10,0.16,Matches
Ainsley Maitland-Niles,eng ENG,DF,21,20,15,"1,386",0,2,0,0,6,1,0.00,0.13,0.13,0.00,0.13,0.2,0.2,1.5,0.01,0.10,0.12,0.01,0.12,Matches
Shkodran Mustafi,de GER,DF,27,15,13,"1,207",0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Héctor Bellerín,es ESP,DF,24,15,13,"1,158",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.4,0.03,0.03,0.07,0.03,0.07,Matches
Calum Chambers,eng ENG,DF,24,14,13,"1,102",1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches
Kieran Tierney,sco SCO,DF,22,15,12,989,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.1,0.1,1.0,0.01,0.10,0.11,0.01,0.11,Matches
Joe Willock,eng ENG,"MF,FW",19,29,8,857,1,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,2.1,2.1,0.8,0.24,0.09,0.33,0.24,0.33,Matches
Emiliano Martínez,ar ARG,GK,26,9,8,771,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Eddie Nketiah,eng ENG,FW,20,13,7,633,2,0,0,0,0,1,0.28,0.00,0.28,0.28,0.28,3.4,3.4,0.4,0.51,0.06,0.57,0.51,0.57,Matches
Reiss Nelson,eng ENG,FW,19,17,7,631,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.8,0.8,0.6,0.12,0.08,0.20,0.12,0.20,Matches
Martinelli,br BRA,FW,18,14,6,663,3,0,0,0,1,0,0.41,0.00,0.41,0.41,0.41,2.3,2.3,0.2,0.31,0.03,0.35,0.31,0.35,Matches
Rob Holding,eng ENG,DF,23,8,6,581,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nacho Monreal,es ESP,DF,33,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.03,0.08,0.11,0.03,0.11,Matches
Cédric Soares,pt POR,DF,27,5,3,249,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
Pablo Marí,es ESP,DF,25,2,2,113,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Henrikh Mkhitaryan,am ARM,FW,30,3,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.18,0.18,0.36,0.18,0.36,Matches
Emile Smith-Rowe,eng ENG,MF,19,2,1,97,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Tyreece John-Jules,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matt Macey,eng ENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Konstantinos Mavropanos,gr GRE,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Zechariah Medley,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matthew Smith,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jack Grealish,eng ENG,"FW,MF",23,36,36,"3,233",8,6,0,1,8,0,0.22,0.17,0.39,0.22,0.39,6.3,5.5,6.9,0.18,0.20,0.38,0.16,0.36,Matches
Tyrone Mings,eng ENG,DF,26,33,33,"2,902",2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,Matches
Douglas Luiz,br BRA,MF,21,36,28,"2,612",3,2,0,0,8,0,0.10,0.07,0.17,0.10,0.17,2.3,2.3,1.4,0.08,0.05,0.13,0.08,0.13,Matches
John McGinn,sco SCO,MF,24,28,27,"2,312",3,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,3.4,3.4,2.4,0.14,0.10,0.24,0.14,0.24,Matches
Matt Targett,eng ENG,DF,23,28,27,"2,291",1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.4,0.4,2.8,0.02,0.11,0.13,0.02,0.13,Matches
Anwar El Ghazi,nl NED,"FW,MF",24,34,26,"2,051",4,4,1,1,3,0,0.18,0.18,0.35,0.13,0.31,6.3,5.5,2.8,0.27,0.12,0.40,0.24,0.36,Matches
Ezri Konsa,eng ENG,DF,21,25,24,"2,039",1,2,0,0,3,0,0.04,0.09,0.13,0.04,0.13,1.6,1.6,0.5,0.07,0.02,0.10,0.07,0.10,Matches
Frederic Guilbert,fr FRA,DF,24,25,22,"2,041",0,2,0,0,7,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.4,0.02,0.06,0.08,0.02,0.08,Matches
Wesley Moraes,br BRA,FW,22,21,21,"1,782",5,1,0,1,3,0,0.25,0.05,0.30,0.25,0.30,5.2,4.3,0.9,0.26,0.05,0.31,0.22,0.26,Matches
Trézéguet,eg EGY,"FW,MF",24,34,20,"1,950",6,1,0,0,4,1,0.28,0.05,0.32,0.28,0.32,4.0,4.0,0.8,0.19,0.04,0.23,0.19,0.23,Matches
Tom Heaton,eng ENG,GK,33,20,20,"1,794",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marvelous Nakamba,zw ZIM,MF,25,29,19,"1,836",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.01,0.03,0.04,0.01,0.04,Matches
Conor Hourihane,ie IRL,MF,28,27,18,"1,534",3,5,0,0,4,0,0.18,0.29,0.47,0.18,0.47,1.6,1.6,5.0,0.10,0.31,0.40,0.10,0.40,Matches
Kortney Hause,eng ENG,DF,24,18,17,"1,545",1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,2.1,2.1,0.2,0.12,0.01,0.14,0.12,0.14,Matches
Björn Engels,be BEL,DF,24,17,15,"1,447",1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
Pepe Reina,es ESP,GK,36,12,12,"1,080",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Neil Taylor,wal WAL,DF,30,14,11,"1,091",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches
Ahmed Elmohamady,eg EGY,DF,31,18,11,"1,031",1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,0.3,0.3,2.5,0.02,0.22,0.24,0.02,0.24,Matches
Mbwana Samatta,tz TAN,FW,26,14,11,943,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.3,0.16,0.03,0.19,0.16,0.19,Matches
Ørjan Nyland,no NOR,GK,28,7,5,539,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Keinan Davis,eng ENG,FW,21,18,4,548,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.2,0.36,0.04,0.41,0.36,0.41,Matches
Jota,es ESP,"FW,MF",28,10,4,335,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.6,0.07,0.17,0.24,0.07,0.24,Matches
Danny Drinkwater,eng ENG,MF,29,4,4,259,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Henri Lansbury,eng ENG,MF,28,10,2,195,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
Jed Steer,eng ENG,GK,26,1,1,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Kodjia,ci CIV,"FW,MF",29,6,0,117,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Indiana Vassilev,us USA,"FW,MF",18,4,0,51,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Borja Bastón,es ESP,"MF,FW",26,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
James Chester,wal WAL,DF,30,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Kaine Hayden,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Lovre Kalinić,hr CRO,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Aaron Ramsdale,eng ENG,GK,21,37,37,"3,330",0,1,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Callum Wilson,eng ENG,FW,27,35,32,"2,908",8,1,0,0,10,0,0.25,0.03,0.28,0.25,0.28,10.3,10.3,2.9,0.33,0.09,0.42,0.33,0.42,Matches
Jefferson Lerma,co COL,MF,24,33,31,"2,703",1,2,0,0,13,1,0.03,0.07,0.10,0.03,0.10,1.3,1.3,1.9,0.04,0.07,0.11,0.04,0.11,Matches
Philip Billing,dk DEN,MF,23,34,29,"2,530",1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.3,2.3,1.4,0.08,0.05,0.14,0.08,0.14,Matches
Nathan Aké,nl NED,DF,24,29,29,"2,503",2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.6,2.6,0.6,0.09,0.02,0.11,0.09,0.11,Matches
Steve Cook,eng ENG,DF,28,29,28,"2,428",1,0,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.3,0.03,0.01,0.04,0.03,0.04,Matches
Diego Rico,es ESP,DF,26,27,27,"2,332",0,4,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,2.6,0.01,0.10,0.12,0.01,0.12,Matches
Adam Smith,eng ENG,DF,28,24,24,"2,055",0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.9,0.03,0.04,0.07,0.03,0.07,Matches
Joshua King,no NOR,"FW,MF",27,26,24,"2,011",6,4,3,3,0,0,0.27,0.18,0.45,0.13,0.31,5.9,4.4,3.6,0.28,0.17,0.44,0.21,0.37,Matches
Ryan Fraser,sco SCO,"MF,FW",25,28,21,"2,067",1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4.0,0.14,0.18,0.32,0.14,0.32,Matches
Harry Wilson,wal WAL,"MF,FW",22,31,20,"1,646",7,0,0,0,2,0,0.38,0.00,0.38,0.38,0.38,4.5,4.5,1.8,0.25,0.10,0.34,0.25,0.34,Matches
Dominic Solanke,eng ENG,"FW,MF",21,32,17,"1,651",3,1,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.9,3.9,1.0,0.22,0.06,0.28,0.22,0.28,Matches
