Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Notes
6, Tottenham,38,16,11,11,61,47,+14,59,46.0,52.1,-6.2,-0.17,
7, Wolves,38,15,14,9,51,40,+11,59,47.4,33.2,+14.2,+0.38,
8, Arsenal,38,14,14,10,56,48,+8,56,47.7,53.5,-5.8,-0.16,
9, Sheffield Utd,38,14,12,12,39,39,0,54,42.5,47.8,-5.3,-0.14,
10, Burnley,38,15,9,14,43,50,-7,54,42.3,47.3,-5.1,-0.14,
15, Brighton,38,9,14,15,39,54,-15,41,41.3,53.1,-11.8,-0.32,
16, West Ham,38,10,9,19,49,62,-13,39,45.5,62.5,-17.0,-0.46,
17, Aston Villa,38,9,8,21,41,67,-26,35,40.1,66.3,-26.2,-0.71,
18, Bournemouth,38,9,7,22,40,65,-25,34,42.4,55.7,-13.4,-0.36,
19, Watford,38,8,10,20,36,64,-28,34,42.6,56.7,-14.2,-0.38,
16, West Ham,38,10,9,19,49,62,-13,39,45.5,62.5,-17.0,-0.46,
17, Aston Villa,38,9,8,21,41,67,-26,35,40.1,66.3,-26.2,-0.71,
18, Bournemouth,38,9,7,22,40,65,-25,34,42.4,55.7,-13.4,-0.36,
19, Watford,38,8,10,20,36,64,-28,34,42.6,56.7,-14.2,-0.38,
20, Norwich City,38,5,6,27,26,75,-49,21,38.5,59.6,-21.1,-0.57,
13, Newcastle Utd,38,11,11,16,38,58,-20,44,33.6,57.9,-24.3,-0.66,
14, Crystal Palace,38,11,10,17,31,50,-19,43,34.4,51.2,-16.8,-0.45,
15, Brighton,38,9,14,15,39,54,-15,41,41.3,53.1,-11.8,-0.32,
16, West Ham,38,10,9,19,49,62,-13,39,45.5,62.5,-17.0,-0.46,
17, Aston Villa,38,9,8,21,41,67,-26,35,40.1,66.3,-26.2,-0.71,
8, Arsenal,38,14,14,10,56,48,+8,56,47.7,53.5,-5.8,-0.16,
9, Sheffield Utd,38,14,12,12,39,39,0,54,42.5,47.8,-5.3,-0.14,
10, Burnley,38,15,9,14,43,50,-7,54,42.3,47.3,-5.1,-0.14,
11, Southampton,38,15,7,16,51,60,-9,52,54.4,53.7,+0.8,+0.02,
12, Everton,38,13,10,15,44,56,-12,49,47.7,47.5,+0.2,+0.01,
2, Manchester City,38,26,3,9,102,35,+67,81,90.0,34.0,+56.1,+1.52,
3, Manchester Utd,38,18,12,8,66,36,+30,66,59.8,37.7,+22.1,+0.58,
4, Chelsea,38,20,6,12,69,54,+15,66,66.8,38.0,+28.9,+0.78,
5, Leicester City,38,18,8,12,67,41,+26,62,61.0,45.4,+15.6,+0.41,
6, Tottenham,38,16,11,11,61,47,+14,59,46.0,52.1,-6.2,-0.17,
12, Everton,38,13,10,15,44,56,-12,49,47.7,47.5,+0.2,+0.01,
13, Newcastle Utd,38,11,11,16,38,58,-20,44,33.6,57.9,-24.3,-0.66,
14, Crystal Palace,38,11,10,17,31,50,-19,43,34.4,51.2,-16.8,-0.45,
15, Brighton,38,9,14,15,39,54,-15,41,41.3,53.1,-11.8,-0.32,
16, West Ham,38,10,9,19,49,62,-13,39,45.5,62.5,-17.0,-0.46,
10, Burnley,38,15,9,14,43,50,-7,54,42.3,47.3,-5.1,-0.14,
11, Southampton,38,15,7,16,51,60,-9,52,54.4,53.7,+0.8,+0.02,
12, Everton,38,13,10,15,44,56,-12,49,47.7,47.5,+0.2,+0.01,
13, Newcastle Utd,38,11,11,16,38,58,-20,44,33.6,57.9,-24.3,-0.66,
14, Crystal Palace,38,11,10,17,31,50,-19,43,34.4,51.2,-16.8,-0.45,
3, Manchester Utd,38,18,12,8,66,36,+30,66,59.8,37.7,+22.1,+0.58,
4, Chelsea,38,20,6,12,69,54,+15,66,66.8,38.0,+28.9,+0.78,
5, Leicester City,38,18,8,12,67,41,+26,62,61.0,45.4,+15.6,+0.41,
6, Tottenham,38,16,11,11,61,47,+14,59,46.0,52.1,-6.2,-0.17,
7, Wolves,38,15,14,9,51,40,+11,59,47.4,33.2,+14.2,+0.38,
1, Liverpool,38,32,3,3,85,33,+52,99,70.0,40.9,+29.1,+0.79,
2, Manchester City,38,26,3,9,102,35,+67,81,90.0,34.0,+56.1,+1.52,
3, Manchester Utd,38,18,12,8,66,36,+30,66,59.8,37.7,+22.1,+0.58,
1, Liverpool,38,32,3,3,85,33,+52,99,70.0,40.9,+29.1,+0.79,
2, Manchester City,38,26,3,9,102,35,+67,81,90.0,34.0,+56.1,+1.52,
3, Manchester Utd,38,18,12,8,66,36,+30,66,59.8,37.7,+22.1,+0.58,
4, Chelsea,38,20,6,12,69,54,+15,66,66.8,38.0,+28.9,+0.78,
1, Liverpool,38,32,3,3,85,33,+52,99,70.0,40.9,+29.1,+0.79,
2, Manchester City,38,26,3,9,102,35,+67,81,90.0,34.0,+56.1,+1.52,
3, Manchester Utd,38,18,12,8,66,36,+30,66,59.8,37.7,+22.1,+0.58,
4, Chelsea,38,20,6,12,69,54,+15,66,66.8,38.0,+28.9,+0.78,
5, Leicester City,38,18,8,12,67,41,+26,62,61.0,45.4,+15.6,+0.41,
11, Southampton,38,15,7,16,51,60,-9,52,54.4,53.7,+0.8,+0.02,
12, Everton,38,13,10,15,44,56,-12,49,47.7,47.5,+0.2,+0.01,
13, Newcastle Utd,38,11,11,16,38,58,-20,44,33.6,57.9,-24.3,-0.66,
14, Crystal Palace,38,11,10,17,31,50,-19,43,34.4,51.2,-16.8,-0.45,
15, Brighton,38,9,14,15,39,54,-15,41,41.3,53.1,-11.8,-0.32,
18, Bournemouth,38,9,7,22,40,65,-25,34,42.4,55.7,-13.4,-0.36,
19, Watford,38,8,10,20,36,64,-28,34,42.6,56.7,-14.2,-0.38,
