aerials_lost,aerials_won,aerials_won_pct,age,assisted_shots,assists,assists_per90,avg_distance_def_actions_gk,ball_recoveries,blocked_passes,blocked_shots,blocked_shots_saves,blocks,cards_red,cards_yellow,cards_yellow_red,carries,carry_distance,carry_progressive_distance,clean_sheets,clean_sheets_pct,clearances,corner_kick_goals_against_gk,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,crosses,crosses_gk,crosses_into_penalty_area,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,dispossessed,draws_gk,dribble_tackles,dribble_tackles_pct,dribbled_past,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_vs,errors,fouled,fouls,free_kick_goals_against_gk,games,games_gk,games_starts,games_starts_gk,games_subs,gca,gca_dribbles,gca_fouled,gca_og_for,gca_passes_dead,gca_passes_live,gca_per90,gca_shots,goal_kick_length_avg,goal_kicks,goals,goals_against_gk,goals_against_per90_gk,goals_assists_pens_per90,goals_assists_per90,goals_pens_per90,goals_per90,interceptions,losses_gk,minutes,minutes_90s,minutes_90s_gk,minutes_gk,minutes_pct,minutes_per_game,minutes_per_start,minutes_per_sub,miscontrols,nationality,npxg,npxg_per90,npxg_xa_per90,nutmegs,offsides,on_goals_against,on_goals_for,on_xg_against,on_xg_for,own_goals,own_goals_against_gk,pass_targets,passes,passes_blocked,passes_completed,passes_completed_launched_gk,passes_completed_long,passes_completed_medium,passes_completed_short,passes_dead,passes_free_kicks,passes_gk,passes_ground,passes_head,passes_high,passes_intercepted,passes_into_final_third,passes_into_penalty_area,passes_launched_gk,passes_left_foot,passes_length_avg_gk,passes_live,passes_long,passes_low,passes_medium,passes_offsides,passes_oob,passes_other_body,passes_pct,passes_pct_launched_gk,passes_pct_long,passes_pct_medium,passes_pct_short,passes_pressure,passes_progressive_distance,passes_received,passes_received_pct,passes_right_foot,passes_short,passes_switches,passes_throws_gk,passes_total_distance,pct_goal_kicks_launched,pct_passes_launched_gk,pens_allowed,pens_att,pens_att_gk,pens_conceded,pens_made,pens_missed_gk,pens_saved,pens_won,player,players_dribbled_past,plus_minus,plus_minus_per90,plus_minus_wowy,points_per_match,pos1,pos2,pressure_regain_pct,pressure_regains,pressures,pressures_att_3rd,pressures_def_3rd,pressures_mid_3rd,progressive_passes,psnpxg_per_shot_on_target_against,psxg_gk,psxg_net_gk,psxg_net_per90_gk,save_pct,saves,sca,sca_dribbles,sca_fouled,sca_passes_dead,sca_passes_live,sca_per90,sca_shots,shots_on_target_against,tackles,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won,team,through_balls,throw_ins,touches,touches_att_3rd,touches_att_pen_area,touches_def_3rd,touches_def_pen_area,touches_live_ball,touches_mid_3rd,unused_subs,wins_gk,xa,xa_net,xa_per90,xg,xg_per90,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,xg_xa_per90
59.0,37.0,38.5,30.0,23.0,3.0,0.09,,125.0,57.0,2.0,0.0,59.0,1.0,3.0,0.0,865.0,6213.0,3885.0,,,16.0,,2.0,0.0,0.0,0.0,86.0,,14.0,,,,,39.0,,12.0,24.0,38.0,49.0,25.0,51.0,50.0,0.0,20.0,14.0,,36,,35,,1,9.0,0.0,1.0,0.0,0.0,6.0,0.26,2.0,,,22.0,,,0.66,0.72,0.57,0.63,11.0,,"3,136",34.8,,,91.7,87.0,89.0,33.0,58.0,ga GAB,14.2,0.41,0.49,0.0,20.0,44.0,51.0,51.0,46.2,0.0,,1528.0,888.0,50.0,612.0,,67.0,531.0,14.0,32.0,0.0,,558.0,23.0,157.0,23.0,27.0,48.0,,99.0,,856.0,132.0,173.0,696.0,2.0,23.0,3.0,68.9,,50.8,76.3,23.3,243.0,2584.0,939.0,61.5,735.0,60.0,10.0,,9371.0,,,,2.0,,0.0,2.0,,,0.0,Pierre-Emerick Aubameyang,29.0,7.0,0.2,-0.12,1.5,FW,,22.7,130.0,573.0,204.0,113.0,256.0,95.0,,,,,,,54.0,7.0,5.0,0.0,38.0,1.55,4.0,,39.0,10.0,15.0,50.0,14.0,24.0,Arsenal,1.0,2.0,1248.0,673.0,168.0,158.0,29.0,1214.0,502.0,0,,3.0,0.0,0.09,15.7,0.45,-4.8,-0.14,0.6,0.54
34.0,58.0,63.0,32.0,4.0,1.0,0.03,,210.0,23.0,40.0,0.0,63.0,2.0,5.0,0.0,1332.0,9431.0,5693.0,,,183.0,,0.0,0.0,0.0,0.0,5.0,,1.0,,,,,6.0,,10.0,38.5,16.0,9.0,4.0,44.4,26.0,3.0,14.0,30.0,,33,,32,,1,4.0,0.0,0.0,0.0,0.0,4.0,0.13,0.0,,,2.0,,,0.1,0.1,0.06,0.06,30.0,,"2,809",31.2,,,82.1,85.0,87.0,25.0,7.0,br BRA,1.8,0.06,0.09,0.0,1.0,38.0,47.0,49.8,41.5,0.0,,1454.0,1713.0,14.0,1481.0,,628.0,843.0,10.0,102.0,98.0,,1235.0,48.0,317.0,9.0,100.0,9.0,,409.0,,1611.0,798.0,161.0,894.0,7.0,31.0,10.0,86.5,,78.7,94.3,47.6,251.0,10642.0,1427.0,98.1,1228.0,21.0,72.0,,36775.0,,,,0.0,,3.0,0.0,,,0.0,David Luiz,4.0,9.0,0.29,0.44,1.42,DF,,34.6,66.0,191.0,5.0,143.0,43.0,89.0,,,,,,,9.0,0.0,0.0,0.0,8.0,0.29,1.0,,33.0,1.0,22.0,63.0,10.0,20.0,Arsenal,6.0,4.0,2050.0,54.0,19.0,1183.0,392.0,1946.0,972.0,3,,1.0,0.0,0.03,1.8,0.06,-8.3,-0.27,-0.45,0.09
0.0,0.0,0.0,27.0,0.0,0.0,0.0,13.7,150.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,497.0,1995.0,1050.0,7.0,23.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,18.0,6.6,18.0,0.61,0.0,13.0,0.0,0.0,3.0,2.0,1.0,50.0,3.0,1.0,4.0,0.0,0.0,30,30.0,30,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,251.0,0.0,39.0,1.33,0.0,0.0,0.0,0.0,0.0,8.0,"2,649",29.4,29.4,"2,649",77.5,88.0,88.0,0.0,0.0,de GER,0.0,0.0,0.0,0.0,0.0,39.0,40.0,43.5,36.7,0.0,0.0,444.0,990.0,1.0,742.0,90.0,251.0,486.0,5.0,310.0,59.0,739.0,612.0,4.0,326.0,3.0,3.0,0.0,320.0,153.0,31.9,680.0,493.0,52.0,491.0,5.0,22.0,174.0,74.9,28.1,50.9,99.0,83.3,127.0,9806.0,442.0,99.5,631.0,6.0,22.0,174.0,18293.0,44.6,28.1,6.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,Bernd Leno,1.0,1.0,0.03,-0.78,1.33,GK,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.27,45.4,6.4,0.22,0.7759999999999999,110.0,1.0,0.0,0.0,0.0,1.0,0.03,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,1074.0,0.0,0.0,1067.0,973.0,768.0,8.0,0,9.0,0.0,0.0,0.0,0.0,0.0,-6.8,-0.23,-0.2,0.0
52.0,51.0,49.5,26.0,15.0,2.0,0.07,,319.0,38.0,17.0,1.0,55.0,0.0,10.0,0.0,1528.0,7434.0,3612.0,,,85.0,,0.0,0.0,0.0,0.0,16.0,,3.0,,,,,12.0,,18.0,32.7,37.0,32.0,27.0,84.4,55.0,0.0,32.0,56.0,,31,,30,,1,4.0,0.0,1.0,0.0,0.0,3.0,0.14,0.0,,,1.0,,,0.1,0.1,0.03,0.03,21.0,,"2,586",28.7,,,75.6,83.0,85.0,45.0,10.0,ch SUI,0.4,0.01,0.05,2.0,0.0,31.0,47.0,40.6,39.3,0.0,,1643.0,1886.0,26.0,1656.0,,453.0,1187.0,16.0,64.0,52.0,,1330.0,80.0,268.0,24.0,190.0,23.0,,1477.0,,1822.0,546.0,288.0,1305.0,8.0,21.0,4.0,87.8,,83.0,91.0,45.7,379.0,8530.0,1559.0,94.9,281.0,35.0,76.0,,34314.0,,,,0.0,,1.0,0.0,,,0.0,Granit Xhaka,27.0,16.0,0.56,1.42,1.65,MF,,29.1,126.0,433.0,44.0,157.0,232.0,173.0,,,,,,,39.0,2.0,2.0,1.0,33.0,1.36,1.0,,46.0,4.0,27.0,67.0,15.0,27.0,Arsenal,3.0,12.0,2145.0,315.0,18.0,635.0,126.0,2095.0,1321.0,0,,1.0,1.0,0.03,0.4,0.01,-1.3,-0.05,0.58,0.05
41.0,13.0,24.1,24.0,39.0,6.0,0.27,,134.0,18.0,2.0,0.0,20.0,0.0,4.0,0.0,940.0,7289.0,4652.0,,,3.0,,63.0,26.0,19.0,8.0,108.0,,9.0,,,,,64.0,,11.0,47.8,12.0,132.0,72.0,54.5,23.0,0.0,37.0,14.0,,31,,22,,9,9.0,0.0,0.0,0.0,1.0,8.0,0.4,0.0,,,5.0,,,0.45,0.49,0.18,0.22,7.0,,"2,010",22.3,,,58.8,65.0,81.0,25.0,56.0,ci CIV,3.9,0.17,0.37,7.0,4.0,30.0,38.0,34.5,30.4,0.0,,1103.0,803.0,36.0,616.0,,92.0,511.0,13.0,81.0,11.0,,576.0,20.0,146.0,11.0,22.0,33.0,,683.0,,722.0,176.0,81.0,584.0,1.0,14.0,3.0,76.7,,52.3,87.5,30.2,177.0,2378.0,825.0,74.8,79.0,43.0,32.0,,9859.0,,,,1.0,,0.0,1.0,,,0.0,Nicolas Pépé,77.0,8.0,0.36,0.36,1.55,FW,,25.1,89.0,354.0,104.0,94.0,156.0,75.0,,,,,,,66.0,9.0,3.0,13.0,38.0,2.96,3.0,,30.0,3.0,14.0,37.0,13.0,19.0,Arsenal,3.0,7.0,1126.0,630.0,111.0,141.0,10.0,1043.0,466.0,6,,4.4,1.6,0.2,4.7,0.21,-4.1,-0.18,0.0,0.41
64.0,22.0,25.6,28.0,22.0,4.0,0.19,,102.0,13.0,0.0,0.0,13.0,0.0,8.0,0.0,543.0,2669.0,1258.0,,,14.0,,0.0,0.0,0.0,0.0,15.0,,6.0,,,,,43.0,,4.0,23.5,13.0,46.0,25.0,54.3,17.0,0.0,45.0,43.0,,30,,22,,8,13.0,3.0,1.0,0.0,0.0,5.0,0.62,4.0,,,10.0,,,0.67,0.67,0.48,0.48,7.0,,"1,874",20.8,,,54.8,62.0,79.0,16.0,60.0,fr FRA,8.5,0.41,0.56,3.0,13.0,25.0,36.0,31.3,30.1,0.0,,906.0,499.0,24.0,387.0,,60.0,306.0,21.0,41.0,1.0,,337.0,9.0,64.0,10.0,27.0,23.0,,73.0,,458.0,93.0,98.0,360.0,0.0,14.0,4.0,77.6,,64.5,85.0,45.7,125.0,1065.0,555.0,61.3,405.0,46.0,9.0,,5867.0,,,,0.0,,0.0,0.0,,,1.0,Alexandre Lacazette,27.0,11.0,0.53,0.7,1.3,FW,,24.6,114.0,464.0,189.0,55.0,220.0,36.0,,,,,,,58.0,5.0,8.0,0.0,36.0,2.79,9.0,,23.0,5.0,6.0,30.0,12.0,19.0,Arsenal,4.0,0.0,786.0,361.0,116.0,97.0,22.0,742.0,366.0,4,,3.1,0.9,0.15,8.5,0.41,-1.2,-0.06,0.28,0.56
37.0,12.0,24.5,17.0,22.0,5.0,0.26,,138.0,21.0,4.0,0.0,25.0,0.0,6.0,0.0,726.0,4770.0,3010.0,,,21.0,,11.0,3.0,4.0,3.0,67.0,,6.0,,,,,37.0,,13.0,39.4,20.0,48.0,31.0,64.6,33.0,1.0,28.0,22.0,,26,,19,,7,7.0,1.0,0.0,0.0,0.0,6.0,0.36,0.0,,,1.0,,,0.31,0.31,0.05,0.05,12.0,,"1,753",19.5,,,51.3,67.0,80.0,33.0,32.0,eng ENG,1.3,0.07,0.25,2.0,10.0,18.0,22.0,26.4,21.8,0.0,,835.0,844.0,37.0,659.0,,88.0,559.0,12.0,126.0,13.0,,529.0,16.0,137.0,20.0,38.0,21.0,,575.0,,718.0,142.0,178.0,652.0,4.0,20.0,0.0,78.1,,62.0,85.7,24.0,176.0,3132.0,696.0,83.4,144.0,50.0,19.0,,10760.0,,,,0.0,,0.0,0.0,,,0.0,Bukayo Saka,31.0,4.0,0.21,-0.01,1.42,DF,FW,29.2,84.0,288.0,77.0,105.0,106.0,75.0,,,,,,,45.0,7.0,2.0,2.0,32.0,2.31,2.0,,38.0,7.0,20.0,50.0,11.0,22.0,Arsenal,2.0,102.0,1069.0,405.0,61.0,271.0,40.0,948.0,470.0,6,,3.6,1.4,0.19,1.3,0.07,-4.6,-0.23,-0.1,0.25
18.0,11.0,37.9,20.0,13.0,1.0,0.05,,192.0,33.0,7.0,0.0,40.0,0.0,6.0,0.0,1042.0,7210.0,3891.0,,,48.0,,1.0,0.0,0.0,0.0,6.0,,1.0,,,,,28.0,,10.0,27.8,26.0,42.0,29.0,69.0,36.0,0.0,49.0,17.0,,24,,19,,5,2.0,0.0,1.0,0.0,0.0,1.0,0.1,0.0,,,0.0,,,0.05,0.05,0.0,0.0,30.0,,"1,748",19.4,,,51.1,73.0,87.0,21.0,9.0,fr FRA,0.7,0.03,0.1,2.0,0.0,31.0,24.0,29.9,24.8,0.0,,1053.0,1144.0,32.0,1018.0,,257.0,746.0,15.0,36.0,26.0,,929.0,34.0,103.0,18.0,133.0,19.0,,62.0,,1108.0,301.0,112.0,802.0,3.0,6.0,5.0,89.0,,85.4,93.0,36.6,224.0,5472.0,993.0,94.3,1032.0,41.0,29.0,,20108.0,,,,0.0,,0.0,0.0,,,1.0,Mattéo Guendouzi,29.0,-7.0,-0.36,-1.17,1.29,MF,,28.4,109.0,384.0,51.0,158.0,175.0,131.0,,,,,,,34.0,3.0,3.0,0.0,26.0,1.75,2.0,,24.0,4.0,11.0,54.0,9.0,13.0,Arsenal,3.0,8.0,1357.0,265.0,21.0,364.0,76.0,1332.0,858.0,5,,1.3,-0.3,0.07,0.7,0.03,-5.0,-0.26,-0.15,0.1
18.0,24.0,57.1,26.0,9.0,2.0,0.11,,193.0,18.0,5.0,0.0,23.0,0.0,4.0,0.0,730.0,3768.0,2366.0,,,45.0,,0.0,0.0,0.0,0.0,29.0,,4.0,,,,,14.0,,12.0,48.0,13.0,18.0,14.0,77.8,25.0,1.0,16.0,20.0,,26,,19,,7,2.0,0.0,0.0,0.0,0.0,2.0,0.11,0.0,,,0.0,,,0.11,0.11,0.0,0.0,24.0,,"1,701",18.9,,,49.7,65.0,81.0,23.0,10.0,ba BIH,0.6,0.03,0.09,0.0,5.0,26.0,28.0,23.6,27.3,0.0,,796.0,1031.0,25.0,869.0,,105.0,756.0,8.0,114.0,3.0,,703.0,59.0,174.0,14.0,52.0,15.0,,739.0,,917.0,151.0,154.0,849.0,4.0,17.0,3.0,84.3,,69.5,89.0,25.8,157.0,4425.0,744.0,93.5,104.0,31.0,10.0,,14321.0,,,,0.0,,0.0,0.0,,,0.0,Sead Kolašinac,14.0,2.0,0.11,-0.21,1.58,DF,,29.1,67.0,230.0,33.0,116.0,81.0,83.0,,,,,,,18.0,0.0,0.0,0.0,18.0,0.95,0.0,,35.0,7.0,22.0,59.0,6.0,18.0,Arsenal,0.0,111.0,1182.0,296.0,31.0,359.0,67.0,1071.0,601.0,3,,1.0,1.0,0.05,0.6,0.03,3.7,0.2,0.76,0.09
28.0,53.0,65.4,31.0,1.0,0.0,0.0,,109.0,19.0,22.0,0.0,41.0,0.0,6.0,0.0,794.0,3839.0,2028.0,,,108.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,6.0,,11.0,44.0,14.0,6.0,5.0,83.3,25.0,0.0,12.0,19.0,,19,,19,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,0.11,0.11,0.11,0.11,14.0,,"1,696",18.8,,,49.6,89.0,89.0,0.0,4.0,gr GRE,1.0,0.05,0.06,0.0,1.0,25.0,27.0,27.0,25.4,0.0,,858.0,973.0,7.0,873.0,,283.0,582.0,8.0,41.0,31.0,,748.0,17.0,122.0,5.0,27.0,1.0,,34.0,,932.0,350.0,103.0,608.0,2.0,10.0,2.0,89.7,,80.9,95.7,53.3,150.0,5507.0,839.0,97.8,893.0,15.0,42.0,,19136.0,,,,0.0,,0.0,0.0,,,0.0,Sokratis Papastathopoulos,5.0,2.0,0.11,-0.21,1.53,DF,,28.2,51.0,181.0,5.0,121.0,55.0,24.0,,,,,,,4.0,0.0,0.0,0.0,3.0,0.21,1.0,,23.0,1.0,17.0,37.0,5.0,13.0,Arsenal,0.0,10.0,1166.0,39.0,13.0,707.0,206.0,1126.0,481.0,13,,0.2,-0.2,0.01,1.0,0.05,-1.6,-0.09,0.2,0.06
