aerials_lost,aerials_won,aerials_won_pct,age,assisted_shots,assists,assists_per90,avg_distance_def_actions_gk,ball_recoveries,blocked_passes,blocked_shots,blocked_shots_saves,blocks,cards_red,cards_yellow,cards_yellow_red,carries,carry_distance,carry_progressive_distance,clean_sheets,clean_sheets_pct,clearances,corner_kick_goals_against_gk,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,crosses,crosses_gk,crosses_into_penalty_area,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,dispossessed,draws_gk,dribble_tackles,dribble_tackles_pct,dribbled_past,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_vs,errors,fouled,fouls,free_kick_goals_against_gk,games,games_gk,games_starts,games_starts_gk,games_subs,gca,gca_dribbles,gca_fouled,gca_og_for,gca_passes_dead,gca_passes_live,gca_per90,gca_shots,goal_kick_length_avg,goal_kicks,goals,goals_against_gk,goals_against_per90_gk,goals_assists_pens_per90,goals_assists_per90,goals_pens_per90,goals_per90,interceptions,losses_gk,minutes,minutes_90s,minutes_90s_gk,minutes_gk,minutes_pct,minutes_per_game,minutes_per_start,minutes_per_sub,miscontrols,nationality,npxg,npxg_per90,npxg_xa_per90,nutmegs,offsides,on_goals_against,on_goals_for,on_xg_against,on_xg_for,own_goals,own_goals_against_gk,pass_targets,passes,passes_blocked,passes_completed,passes_completed_launched_gk,passes_completed_long,passes_completed_medium,passes_completed_short,passes_dead,passes_free_kicks,passes_gk,passes_ground,passes_head,passes_high,passes_intercepted,passes_into_final_third,passes_into_penalty_area,passes_launched_gk,passes_left_foot,passes_length_avg_gk,passes_live,passes_long,passes_low,passes_medium,passes_offsides,passes_oob,passes_other_body,passes_pct,passes_pct_launched_gk,passes_pct_long,passes_pct_medium,passes_pct_short,passes_pressure,passes_progressive_distance,passes_received,passes_received_pct,passes_right_foot,passes_short,passes_switches,passes_throws_gk,passes_total_distance,pct_goal_kicks_launched,pct_passes_launched_gk,pens_allowed,pens_att,pens_att_gk,pens_conceded,pens_made,pens_missed_gk,pens_saved,pens_won,player,players_dribbled_past,plus_minus,plus_minus_per90,plus_minus_wowy,points_per_match,pos1,pos2,pressure_regain_pct,pressure_regains,pressures,pressures_att_3rd,pressures_def_3rd,pressures_mid_3rd,progressive_passes,psnpxg_per_shot_on_target_against,psxg_gk,psxg_net_gk,psxg_net_per90_gk,save_pct,saves,sca,sca_dribbles,sca_fouled,sca_passes_dead,sca_passes_live,sca_per90,sca_shots,shots_on_target_against,tackles,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won,team,through_balls,throw_ins,touches,touches_att_3rd,touches_att_pen_area,touches_def_3rd,touches_def_pen_area,touches_live_ball,touches_mid_3rd,unused_subs,wins_gk,xa,xa_net,xa_per90,xg,xg_per90,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,xg_xa_per90
0.0,1.0,100.0,31.0,1.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,209.0,133.0,,,0.0,,0.0,0.0,0.0,0.0,3.0,,1.0,,,,,1.0,,0.0,0.0,2.0,5.0,2.0,40.0,2.0,0.0,2.0,2.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,1.0,ga GAB,0.4,0.42,0.47,0.0,1.0,0.0,3.0,0.2,1.8,0.0,,52.0,30.0,2.0,21.0,,2.0,19.0,0.0,0.0,0.0,,20.0,1.0,4.0,0.0,1.0,1.0,,2.0,,30.0,6.0,6.0,23.0,1.0,0.0,1.0,70.0,,33.3,82.6,0.0,9.0,37.0,35.0,67.3,25.0,1.0,0.0,,291.0,,,,0.0,,0.0,0.0,,,0.0,Pierre-Emerick Aubameyang,3.0,3.0,3.0,0.0,3.0,FW,,17.6,3.0,17.0,7.0,5.0,5.0,1.0,,,,,,,4.0,1.0,1.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,39.0,22.0,5.0,4.0,0.0,39.0,16.0,0,,0.0,0.0,0.05,0.4,0.42,1.5,1.54,0.0,0.47
0.0,1.0,100.0,25.0,1.0,0.0,0.0,,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,48.0,320.0,237.0,,,0.0,,0.0,0.0,0.0,0.0,4.0,,1.0,,,,,0.0,,0.0,0.0,3.0,4.0,2.0,50.0,3.0,0.0,0.0,1.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,1.0,es ESP,0.0,0.0,0.23,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,58.0,69.0,3.0,60.0,,19.0,41.0,0.0,9.0,1.0,,47.0,2.0,14.0,0.0,3.0,4.0,,6.0,,60.0,19.0,8.0,50.0,0.0,0.0,0.0,87.0,,100.0,82.0,0.0,9.0,392.0,54.0,93.1,52.0,0.0,2.0,,1184.0,,,,0.0,,0.0,0.0,,,0.0,Héctor Bellerín,2.0,3.0,3.0,0.0,3.0,DF,,33.3,2.0,6.0,1.0,3.0,2.0,10.0,,,,,,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,Arsenal,1.0,8.0,73.0,29.0,1.0,15.0,0.0,64.0,33.0,0,,0.2,-0.2,0.23,0.0,0.0,1.5,1.54,0.0,0.23
2.0,2.0,50.0,22.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,446.0,219.0,,,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,2.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,0.0,br BRA,0.1,0.1,0.1,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,109.0,116.0,1.0,109.0,,23.0,86.0,0.0,1.0,1.0,,103.0,3.0,6.0,0.0,1.0,0.0,,99.0,,115.0,26.0,7.0,90.0,0.0,1.0,1.0,94.0,,88.5,95.6,0.0,13.0,468.0,108.0,99.1,12.0,0.0,0.0,,2223.0,,,,0.0,,0.0,0.0,,,0.0,Gabriel Dos Santos,0.0,3.0,3.0,0.0,3.0,DF,,28.6,2.0,7.0,0.0,6.0,1.0,2.0,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,2.0,2.0,0.0,1.0,Arsenal,0.0,0.0,121.0,1.0,1.0,76.0,13.0,120.0,53.0,0,,0.0,0.0,0.0,0.1,0.1,1.5,1.54,0.0,0.1
1.0,0.0,0.0,28.0,0.0,0.0,0.0,,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,284.0,159.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,0.0,eg EGY,0.2,0.24,0.24,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,59.0,64.0,0.0,60.0,,22.0,38.0,0.0,1.0,1.0,,49.0,1.0,3.0,0.0,6.0,1.0,,4.0,,63.0,24.0,12.0,40.0,0.0,0.0,1.0,93.8,,91.7,95.0,0.0,9.0,252.0,58.0,98.3,58.0,0.0,2.0,,1353.0,,,,0.0,,0.0,0.0,,,0.0,Mohamed Elneny,1.0,3.0,3.0,0.0,3.0,MF,,30.8,4.0,13.0,3.0,4.0,6.0,3.0,,,,,,,3.0,1.0,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,0.0,3.0,0.0,0.0,Arsenal,0.0,0.0,68.0,9.0,1.0,16.0,2.0,68.0,47.0,0,,0.0,0.0,0.0,0.2,0.24,1.5,1.54,0.0,0.24
1.0,0.0,0.0,24.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,312.0,189.0,,,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,,1,,1,,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,0.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,83.0,91.0,1.0,84.0,,35.0,49.0,0.0,2.0,2.0,,71.0,1.0,7.0,0.0,4.0,1.0,,4.0,,89.0,40.0,13.0,50.0,0.0,3.0,0.0,92.3,,87.5,98.0,0.0,8.0,436.0,83.0,100.0,86.0,1.0,6.0,,1917.0,,,,0.0,,0.0,0.0,,,0.0,Rob Holding,2.0,3.0,3.0,0.0,3.0,DF,,40.0,6.0,15.0,1.0,8.0,6.0,2.0,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0,1.0,3.0,0.0,2.0,Arsenal,0.0,0.0,97.0,2.0,0.0,56.0,15.0,95.0,47.0,0,,0.0,0.0,0.0,0.0,0.0,1.5,1.54,0.0,0.0
0.0,0.0,0.0,28.0,0.0,0.0,0.0,16.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,44.0,16.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,11.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,1.0,90.0,100.0,90.0,90.0,0.0,0.0,de GER,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.8,0.0,0.0,21.0,32.0,0.0,32.0,1.0,5.0,27.0,0.0,7.0,3.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.4,25.0,5.0,2.0,27.0,0.0,0.0,2.0,100.0,100.0,100.0,100.0,0.0,6.0,207.0,20.0,95.2,24.0,0.0,0.0,2.0,613.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernd Leno,0.0,3.0,3.0,0.0,3.0,GK,,100.0,1.0,1.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.02,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,33.0,0.0,0.0,33.0,29.0,26.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.54,0.0,0.0
1.0,0.0,0.0,22.0,0.0,0.0,0.0,,2.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,30.0,120.0,52.0,,,1.0,,0.0,0.0,0.0,0.0,2.0,,0.0,,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,2.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,44.0,42.0,1.0,34.0,,12.0,22.0,0.0,4.0,0.0,,31.0,0.0,6.0,1.0,3.0,0.0,,9.0,,38.0,17.0,5.0,24.0,1.0,3.0,0.0,81.0,,70.6,91.7,0.0,4.0,131.0,38.0,86.4,29.0,1.0,2.0,,715.0,,,,0.0,,0.0,0.0,,,0.0,Ainsley Maitland-Niles,0.0,3.0,3.0,0.0,3.0,DF,,30.0,6.0,20.0,4.0,8.0,8.0,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,Arsenal,0.0,4.0,52.0,14.0,2.0,12.0,2.0,48.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,1.5,1.54,0.0,0.0
1.0,0.0,0.0,23.0,0.0,0.0,0.0,,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,348.0,225.0,,,3.0,,0.0,0.0,0.0,0.0,2.0,,0.0,,,,,1.0,,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,1.0,1.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,90.0,1.0,,,100.0,90.0,90.0,0.0,0.0,sco SCO,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,80.0,89.0,0.0,78.0,,26.0,52.0,0.0,9.0,0.0,,67.0,1.0,15.0,0.0,6.0,0.0,,72.0,,80.0,34.0,7.0,55.0,0.0,2.0,0.0,87.6,,76.5,94.5,0.0,8.0,400.0,75.0,93.8,7.0,0.0,2.0,,1673.0,,,,0.0,,0.0,0.0,,,0.0,Kieran Tierney,1.0,3.0,3.0,0.0,3.0,DF,,12.5,1.0,8.0,0.0,5.0,3.0,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,9.0,96.0,10.0,1.0,32.0,3.0,87.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,1.5,1.54,0.0,0.0
0.0,0.0,0.0,29.0,1.0,0.0,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,51.0,13.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,3.0,,0.0,0.0,1.0,2.0,2.0,100.0,1.0,0.0,3.0,2.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.05,1.05,1.05,1.05,0.0,,86.0,1.0,,,95.6,86.0,86.0,0.0,1.0,fr FRA,0.5,0.48,0.73,0.0,1.0,0.0,3.0,0.2,1.8,0.0,,43.0,18.0,1.0,13.0,,2.0,9.0,2.0,1.0,0.0,,11.0,0.0,1.0,1.0,0.0,0.0,,1.0,,17.0,4.0,6.0,11.0,0.0,2.0,1.0,72.2,,50.0,81.8,66.7,4.0,10.0,24.0,55.8,16.0,3.0,1.0,,185.0,,,,0.0,,0.0,0.0,,,0.0,Alexandre Lacazette,2.0,3.0,3.14,3.14,3.0,FW,,25.0,5.0,20.0,9.0,4.0,7.0,0.0,,,,,,,2.0,0.0,1.0,0.0,1.0,2.09,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,Arsenal,0.0,0.0,30.0,15.0,6.0,1.0,0.0,29.0,15.0,0,,0.2,-0.2,0.26,0.5,0.48,1.6,1.63,2.06,0.73
0.0,0.0,0.0,27.0,1.0,0.0,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,162.0,88.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,0.0,,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1,,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,78.0,0.9,,,86.7,78.0,78.0,0.0,0.0,ch SUI,0.2,0.19,0.32,0.0,0.0,0.0,3.0,0.2,1.8,0.0,,51.0,58.0,1.0,53.0,,14.0,39.0,0.0,1.0,1.0,,41.0,2.0,6.0,0.0,8.0,1.0,,49.0,,57.0,17.0,11.0,40.0,1.0,0.0,1.0,91.4,,82.4,97.5,0.0,12.0,187.0,46.0,90.2,6.0,1.0,0.0,,998.0,,,,0.0,,0.0,0.0,,,0.0,Granit Xhaka,0.0,3.0,3.46,3.46,3.0,MF,,33.3,2.0,6.0,2.0,1.0,3.0,3.0,,,,,,,3.0,0.0,0.0,0.0,2.0,3.46,1.0,,3.0,2.0,1.0,3.0,0.0,2.0,Arsenal,1.0,0.0,66.0,18.0,1.0,13.0,3.0,64.0,38.0,0,,0.1,-0.1,0.13,0.2,0.19,1.6,1.8,1.94,0.32
