player,nationality,age,minutes_90s_gk,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,team,Pos1,Pos2
Bernd Leno,de GER,28,1.0,0,0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,1.0,1.0,100.0,28.0,2.0,0.0,18.4,4.0,25.0,23.8,9.0,1.0,11.1,1.0,1.0,16.5,Arsenal,GK,
Mathew Ryan,au AUS,28,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Kepa Arrizabalaga,es ESP,25,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,GK,
Vicente Guaita,es ESP,33,1.0,0,0,0.0,0.0,0.0,0.7,0.18,0.7,0.71,6.0,25.0,24.0,20.0,0.0,95.0,62.8,6.0,100.0,67.3,7.0,1.0,14.3,0.0,0.0,8.3,Crystal Palace,GK,
Jordan Pickford,eng ENG,26,1.0,0,0,0.0,0.0,0.0,0.6,0.12,0.6,0.6,7.0,23.0,30.4,33.0,4.0,63.6,52.9,4.0,50.0,45.8,12.0,1.0,8.3,0.0,0.0,12.6,Everton,GK,
Marek Rodák,sk SVK,23,1.0,3,0,0.0,1.0,0.0,2.0,0.49,-1.0,-0.98,6.0,12.0,50.0,22.0,3.0,40.9,35.8,4.0,75.0,56.0,9.0,0.0,0.0,1.0,1.0,11.8,Fulham,GK,
Illan Meslier,fr FRA,20,1.0,4,2,0.0,1.0,0.0,3.7,0.47,-0.3,-0.3,7.0,20.0,35.0,47.0,10.0,27.7,30.9,12.0,58.3,42.8,6.0,0.0,0.0,2.0,2.0,13.1,Leeds United,GK,
Kasper Schmeichel,dk DEN,33,1.0,0,0,0.0,0.0,0.0,0.1,0.15,0.1,0.15,2.0,8.0,25.0,22.0,3.0,18.2,30.5,6.0,66.7,52.7,4.0,0.0,0.0,1.0,1.0,14.7,Leicester City,GK,
Alisson,br BRA,27,1.0,3,0,0.0,0.0,0.0,2.1,0.68,-0.9,-0.95,2.0,12.0,16.7,26.0,5.0,34.6,34.7,3.0,100.0,76.3,6.0,0.0,0.0,0.0,0.0,15.3,Liverpool,GK,
Karl Darlow,eng ENG,29,1.0,0,0,0.0,0.0,0.0,1.3,0.44,1.3,1.31,6.0,17.0,35.3,20.0,2.0,70.0,50.2,3.0,100.0,70.3,18.0,1.0,5.6,0.0,0.0,8.0,Newcastle Utd,GK,
Aaron Ramsdale,eng ENG,22,1.0,2,0,0.0,1.0,0.0,1.3,0.33,-0.7,-0.67,8.0,19.0,42.1,18.0,3.0,72.2,53.7,6.0,100.0,73.8,6.0,0.0,0.0,0.0,0.0,11.0,Sheffield Utd,GK,
Alex McCarthy,eng ENG,30,1.0,1,0,0.0,0.0,0.0,0.9,0.29,-0.1,-0.14,8.0,20.0,40.0,44.0,8.0,38.6,32.8,7.0,42.9,34.0,8.0,1.0,12.5,4.0,4.0,25.7,Southampton,GK,
Hugo Lloris,fr FRA,33,1.0,1,0,0.0,0.0,0.0,0.5,0.09,-0.5,-0.55,4.0,7.0,57.1,22.0,7.0,22.7,27.7,8.0,25.0,32.1,8.0,0.0,0.0,2.0,2.0,21.5,Tottenham,GK,
Sam Johnstone,eng ENG,27,1.0,3,2,0.0,0.0,0.0,3.0,0.26,0.0,0.04,8.0,22.0,36.4,26.0,3.0,61.5,48.8,6.0,100.0,63.5,6.0,0.0,0.0,0.0,0.0,13.3,West Brom,GK,
Łukasz Fabiański,pl POL,35,1.0,2,0,0.0,0.0,0.0,1.9,0.64,-0.1,-0.07,4.0,10.0,40.0,22.0,4.0,18.2,29.0,7.0,85.7,58.4,9.0,0.0,0.0,0.0,0.0,10.7,West Ham,GK,
Rui Patrício,pt POR,32,1.0,0,0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,11.0,18.0,61.1,18.0,6.0,66.7,50.4,6.0,100.0,59.8,14.0,2.0,14.3,0.0,0.0,8.8,Wolves,GK,
