player,nationality,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,34.8,39.0,24,15.0,14.0,10.0,12.0,50.0,24.0,38.0,573.0,130.0,22.7,113.0,256.0,204.0,59.0,2.0,0.0,57.0,11,50,16.0,0.0,Arsenal,FW,
David Luiz,br BRA,32.0,31.2,33.0,20,22.0,10.0,1.0,10.0,26.0,38.5,16.0,191.0,66.0,34.6,143.0,43.0,5.0,63.0,40.0,0.0,23.0,30,63,183.0,3.0,Arsenal,DF,
Bernd Leno,de GER,27.0,29.4,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,28.7,46.0,27,27.0,15.0,4.0,18.0,55.0,32.7,37.0,433.0,126.0,29.1,157.0,232.0,44.0,55.0,17.0,1.0,38.0,21,67,85.0,0.0,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,22.3,30.0,19,14.0,13.0,3.0,11.0,23.0,47.8,12.0,354.0,89.0,25.1,94.0,156.0,104.0,20.0,2.0,0.0,18.0,7,37,3.0,0.0,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,20.8,23.0,19,6.0,12.0,5.0,4.0,17.0,23.5,13.0,464.0,114.0,24.6,55.0,220.0,189.0,13.0,0.0,0.0,13.0,7,30,14.0,0.0,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,19.5,38.0,22,20.0,11.0,7.0,13.0,33.0,39.4,20.0,288.0,84.0,29.2,105.0,106.0,77.0,25.0,4.0,0.0,21.0,12,50,21.0,1.0,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,19.4,24.0,13,11.0,9.0,4.0,10.0,36.0,27.8,26.0,384.0,109.0,28.4,158.0,175.0,51.0,40.0,7.0,0.0,33.0,30,54,48.0,0.0,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,18.9,35.0,18,22.0,6.0,7.0,12.0,25.0,48.0,13.0,230.0,67.0,29.1,116.0,81.0,33.0,23.0,5.0,0.0,18.0,24,59,45.0,1.0,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,18.8,23.0,13,17.0,5.0,1.0,11.0,25.0,44.0,14.0,181.0,51.0,28.2,121.0,55.0,5.0,41.0,22.0,0.0,19.0,14,37,108.0,0.0,Arsenal,DF,
Dani Ceballos,es ESP,22.0,18.8,49.0,28,25.0,17.0,7.0,17.0,62.0,27.4,45.0,445.0,120.0,27.0,197.0,191.0,57.0,29.0,4.0,0.0,25.0,30,79,22.0,1.0,Arsenal,MF,
Mesut Özil,de GER,30.0,16.0,13.0,10,9.0,4.0,0.0,2.0,19.0,10.5,17.0,305.0,63.0,20.7,67.0,178.0,60.0,9.0,0.0,0.0,9.0,5,18,3.0,0.0,Arsenal,MF,
Lucas Torreira,uy URU,23.0,16.8,37.0,24,17.0,16.0,4.0,12.0,34.0,35.3,22.0,403.0,102.0,25.3,156.0,200.0,47.0,29.0,9.0,0.0,20.0,31,68,30.0,1.0,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,15.4,41.0,27,30.0,9.0,2.0,14.0,42.0,33.3,28.0,297.0,84.0,28.3,179.0,86.0,32.0,29.0,5.0,0.0,24.0,29,70,41.0,0.0,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,13.4,14.0,9,9.0,4.0,1.0,2.0,13.0,15.4,11.0,108.0,36.0,33.3,52.0,50.0,6.0,15.0,7.0,0.0,8.0,18,32,111.0,2.0,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,12.9,23.0,16,12.0,7.0,4.0,9.0,31.0,29.0,22.0,183.0,46.0,25.1,71.0,87.0,25.0,28.0,4.0,0.0,24.0,18,41,34.0,0.0,Arsenal,DF,
Calum Chambers,eng ENG,24.0,12.2,25.0,18,14.0,8.0,3.0,9.0,12.0,75.0,3.0,143.0,51.0,35.7,77.0,41.0,25.0,21.0,7.0,0.0,14.0,15,40,61.0,0.0,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,11.0,21.0,11,12.0,5.0,4.0,10.0,15.0,66.7,5.0,126.0,39.0,31.0,62.0,51.0,13.0,22.0,4.0,0.0,18.0,9,30,44.0,0.0,Arsenal,DF,
Joe Willock,eng ENG,19.0,9.5,22.0,15,6.0,10.0,6.0,4.0,20.0,20.0,16.0,242.0,67.0,27.7,76.0,128.0,38.0,19.0,5.0,1.0,14.0,3,25,12.0,0.0,Arsenal,MF,FW
Emiliano Martínez,ar ARG,26.0,8.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,Arsenal,GK,
Eddie Nketiah,eng ENG,20.0,7.0,10.0,7,4.0,5.0,1.0,2.0,7.0,28.6,5.0,163.0,39.0,23.9,11.0,78.0,74.0,5.0,0.0,0.0,5.0,1,11,4.0,0.0,Arsenal,FW,
Reiss Nelson,eng ENG,19.0,7.0,12.0,6,8.0,3.0,1.0,8.0,14.0,57.1,6.0,164.0,31.0,18.9,52.0,69.0,43.0,13.0,1.0,0.0,12.0,3,15,2.0,0.0,Arsenal,FW,
Martinelli,br BRA,18.0,7.4,23.0,13,12.0,9.0,2.0,6.0,17.0,35.3,11.0,247.0,69.0,27.9,88.0,101.0,58.0,20.0,1.0,0.0,19.0,3,26,7.0,0.0,Arsenal,FW,
Rob Holding,eng ENG,23.0,6.5,6.0,3,5.0,1.0,0.0,2.0,3.0,66.7,1.0,47.0,14.0,29.8,32.0,10.0,5.0,19.0,6.0,0.0,13.0,5,11,45.0,2.0,Arsenal,DF,
Nacho Monreal,es ESP,33.0,3.0,4.0,4,3.0,1.0,0.0,1.0,3.0,33.3,2.0,34.0,10.0,29.4,19.0,13.0,2.0,3.0,1.0,0.0,2.0,3,7,17.0,0.0,Arsenal,DF,
Cédric Soares,pt POR,27.0,2.8,6.0,5,2.0,4.0,0.0,2.0,5.0,40.0,3.0,55.0,15.0,27.3,23.0,26.0,6.0,10.0,0.0,0.0,10.0,3,9,2.0,0.0,Arsenal,DF,
Pablo Marí,es ESP,25.0,1.3,3.0,1,2.0,1.0,0.0,1.0,2.0,50.0,1.0,11.0,3.0,27.3,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1,4,14.0,0.0,Arsenal,DF,
Henrikh Mkhitaryan,am ARM,30.0,1.2,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,32.0,8.0,25.0,4.0,16.0,12.0,2.0,0.0,0.0,2.0,0,0,1.0,0.0,Arsenal,FW,
Emile Smith-Rowe,eng ENG,19.0,1.1,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,22.0,7.0,31.8,6.0,10.0,6.0,1.0,0.0,0.0,1.0,1,2,3.0,0.0,Arsenal,MF,
Jack Grealish,eng ENG,23.0,35.9,36.0,28,13.0,14.0,9.0,8.0,31.0,25.8,23.0,574.0,154.0,26.8,161.0,231.0,182.0,55.0,12.0,0.0,43.0,25,61,13.0,1.0,Aston Villa,FW,MF
Tyrone Mings,eng ENG,26.0,32.2,25.0,17,18.0,6.0,1.0,10.0,18.0,55.6,8.0,160.0,66.0,41.3,106.0,43.0,11.0,72.0,55.0,2.0,17.0,33,58,223.0,7.0,Aston Villa,DF,
