player,nationality,age,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,team,Pos1,Pos2
Bernd Leno,de GER,27,30,30,"2,649",39,1.33,147,110,0.7759999999999999,9,13,8,7,23.3,7,6,1,0,Arsenal,GK,
Emiliano Martínez,ar ARG,26,9,8,771,9,1.05,42,33,0.81,5,1,2,3,37.5,1,1,0,0,Arsenal,GK,
Tom Heaton,eng ENG,33,20,20,"1,794",35,1.76,99,67,0.677,6,3,11,4,20.0,3,3,0,0,Aston Villa,GK,
Pepe Reina,es ESP,36,12,12,"1,080",20,1.67,50,32,0.64,3,3,6,2,16.7,3,2,1,0,Aston Villa,GK,
Ørjan Nyland,no NOR,28,7,5,539,12,2.0,26,14,0.5379999999999999,0,2,3,1,20.0,0,0,0,0,Aston Villa,GK,
Jed Steer,eng ENG,26,1,1,7,0,0.0,0,0,0.0,0,0,1,0,0.0,0,0,0,0,Aston Villa,GK,
Aaron Ramsdale,eng ENG,21,37,37,"3,330",62,1.68,177,120,0.6779999999999999,9,7,21,5,13.5,6,5,1,0,Bournemouth,GK,
Mark Travers,ie IRL,20,1,1,90,3,3.0,5,2,0.4,0,0,1,0,0.0,0,0,0,0,Bournemouth,GK,
Mathew Ryan,au AUS,27,38,38,"3,420",54,1.42,164,114,0.6829999999999999,9,14,15,9,23.7,2,2,0,0,Brighton,GK,
Nick Pope,eng ENG,27,38,38,"3,420",50,1.32,159,112,0.711,15,9,14,15,39.5,5,4,1,0,Burnley,GK,
Kepa Arrizabalaga,es ESP,24,33,33,"2,970",47,1.42,99,55,0.545,18,4,11,8,24.2,2,2,0,0,Chelsea,GK,
Willy Caballero,ar ARG,37,5,5,450,7,1.4,16,10,0.563,2,2,1,1,20.0,0,0,0,0,Chelsea,GK,
Vicente Guaita,es ESP,32,35,35,"3,150",42,1.2,147,106,0.7140000000000001,11,9,15,10,28.6,1,0,0,1,Crystal Palace,GK,
Wayne Hennessey,wal WAL,32,3,3,270,8,2.67,22,14,0.636,0,1,2,0,0.0,0,0,0,0,Crystal Palace,GK,
Jordan Pickford,eng ENG,25,38,38,"3,420",56,1.47,145,95,0.634,13,10,15,9,23.7,4,3,0,1,Everton,GK,
Kasper Schmeichel,dk DEN,32,38,38,"3,420",41,1.08,126,95,0.738,18,8,12,13,34.2,10,8,2,0,Leicester City,GK,
Alisson,br BRA,26,29,29,"2,543",23,0.81,79,58,0.722,23,3,3,13,44.8,1,1,0,0,Liverpool,GK,
Adrián,es ESP,32,11,9,875,10,1.03,28,17,0.643,9,0,0,2,22.2,0,0,0,0,Liverpool,GK,
Ederson,br BRA,25,35,35,"3,071",28,0.82,92,65,0.728,24,3,8,16,45.7,3,3,0,0,Manchester City,GK,
Claudio Bravo,cl CHI,36,4,3,347,7,1.82,15,8,0.5329999999999999,2,0,1,1,33.3,0,0,0,0,Manchester City,GK,
David de Gea,es ESP,28,38,38,"3,420",36,0.95,125,92,0.736,18,12,8,13,34.2,3,3,0,0,Manchester Utd,GK,
Martin Dúbravka,sk SVK,30,38,38,"3,420",58,1.53,190,134,0.705,11,11,16,11,28.9,2,2,0,0,Newcastle Utd,GK,
Tim Krul,nl NED,31,36,36,"3,240",68,1.89,189,123,0.6559999999999999,5,6,25,5,13.9,5,3,2,0,Norwich City,GK,
Michael McGovern,nir NIR,35,2,1,159,6,3.4,11,5,0.455,0,0,1,0,0.0,1,0,1,0,Norwich City,GK,
Ralf Fährmann,de GER,30,1,1,21,1,4.29,1,1,1.0,0,0,1,0,0.0,1,1,0,0,Norwich City,GK,
Dean Henderson,eng ENG,22,36,36,"3,240",33,0.92,129,97,0.752,14,11,11,13,36.1,3,1,1,1,Sheffield Utd,GK,
Simon Moore,eng ENG,29,2,2,180,6,3.0,12,6,0.5,0,1,1,0,0.0,0,0,0,0,Sheffield Utd,GK,
Alex McCarthy,eng ENG,29,28,28,"2,520",35,1.25,110,77,0.691,13,5,10,7,25.0,2,1,1,0,Southampton,GK,
Angus Gunn,eng ENG,23,10,10,900,25,2.5,53,30,0.5660000000000001,2,2,6,2,20.0,2,2,0,0,Southampton,GK,
Hugo Lloris,fr FRA,32,21,21,"1,807",21,1.05,93,74,0.7959999999999999,11,6,4,6,28.6,3,2,1,0,Tottenham,GK,
Paulo Gazzaniga,ar ARG,27,18,17,"1,613",26,1.45,79,56,0.7090000000000001,5,5,7,2,11.8,4,3,1,0,Tottenham,GK,
Ben Foster,eng ENG,36,38,38,"3,420",64,1.68,166,109,0.6629999999999999,8,10,20,9,23.7,9,8,1,0,Watford,GK,
Łukasz Fabiański,pl POL,34,25,25,"2,117",34,1.45,98,69,0.684,8,7,10,5,20.0,4,3,1,0,West Ham,GK,
Roberto,es ESP,33,8,7,687,17,2.23,51,36,0.6859999999999999,0,1,6,0,0.0,1,1,0,0,West Ham,GK,
David Martin,eng ENG,33,5,4,436,6,1.24,20,14,0.7,2,0,2,2,50.0,0,0,0,0,West Ham,GK,
Darren Randolph,ie IRL,32,2,2,180,5,2.5,9,5,0.556,0,1,1,0,0.0,1,1,0,0,West Ham,GK,
Rui Patrício,pt POR,31,38,38,"3,420",40,1.05,120,80,0.675,15,14,9,13,34.2,3,1,2,0,Wolves,GK,
