player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,34.8,3,1,0,14,20,20,86,11,24,0.0,0.0,0,125.0,37.0,59.0,38.5,Arsenal,FW,
David Luiz,br BRA,32.0,31.2,5,2,0,30,14,1,5,30,20,0.0,3.0,0,210.0,58.0,34.0,63.0,Arsenal,DF,
Bernd Leno,de GER,27.0,29.4,2,0,0,0,4,0,0,0,0,0.0,0.0,0,150.0,0.0,0.0,0.0,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,28.7,10,0,0,56,32,0,16,21,27,0.0,1.0,0,319.0,51.0,52.0,49.5,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,22.3,4,0,0,14,37,4,108,7,19,0.0,0.0,0,134.0,13.0,41.0,24.1,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,20.8,8,0,0,43,45,13,15,7,19,1.0,0.0,0,102.0,22.0,64.0,25.6,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,19.5,6,0,0,22,28,10,67,12,22,0.0,0.0,0,138.0,12.0,37.0,24.5,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,19.4,6,0,0,17,49,0,6,30,13,1.0,0.0,0,192.0,11.0,18.0,37.9,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,18.9,4,0,0,20,16,5,29,24,18,0.0,0.0,0,193.0,24.0,18.0,57.1,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,18.8,6,0,0,19,12,1,1,14,13,0.0,0.0,0,109.0,53.0,28.0,65.4,Arsenal,DF,
Dani Ceballos,es ESP,22.0,18.8,1,0,0,19,35,0,72,30,28,0.0,0.0,0,190.0,11.0,22.0,33.3,Arsenal,MF,
Mesut Özil,de GER,30.0,16.0,1,0,0,14,18,6,71,5,10,0.0,0.0,0,92.0,3.0,3.0,50.0,Arsenal,MF,
Lucas Torreira,uy URU,23.0,16.8,7,0,0,24,43,1,12,31,24,0.0,0.0,0,215.0,9.0,18.0,33.3,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,15.4,6,1,1,15,13,0,17,29,27,0.0,0.0,0,131.0,14.0,13.0,51.9,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,13.4,2,0,0,14,3,0,2,18,9,0.0,0.0,0,126.0,68.0,22.0,75.6,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,12.9,2,0,0,15,3,1,26,18,16,0.0,0.0,0,100.0,13.0,17.0,43.3,Arsenal,DF,
Calum Chambers,eng ENG,24.0,12.2,5,0,0,18,4,0,34,15,18,0.0,1.0,0,123.0,37.0,27.0,57.8,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,11.0,2,0,0,8,12,0,44,9,11,0.0,1.0,0,98.0,10.0,10.0,50.0,Arsenal,DF,
