player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,34.8,888.0,856.0,32.0,0.0,1.0,243.0,10.0,86,2.0,0.0,0.0,0.0,558.0,173.0,157.0,99.0,735.0,23.0,2.0,3.0,612.0,2.0,23.0,23.0,50.0,Arsenal,FW,
David Luiz,br BRA,32.0,31.2,1713.0,1611.0,102.0,98.0,6.0,251.0,72.0,5,0.0,0.0,0.0,0.0,1235.0,161.0,317.0,409.0,1228.0,48.0,4.0,10.0,1481.0,7.0,31.0,9.0,14.0,Arsenal,DF,
Bernd Leno,de GER,27.0,29.4,990.0,680.0,310.0,59.0,0.0,127.0,22.0,0,0.0,0.0,0.0,0.0,612.0,52.0,326.0,153.0,631.0,4.0,0.0,174.0,742.0,5.0,22.0,3.0,1.0,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,28.7,1886.0,1822.0,64.0,52.0,3.0,379.0,76.0,16,0.0,0.0,0.0,0.0,1330.0,288.0,268.0,1477.0,281.0,80.0,12.0,4.0,1656.0,8.0,21.0,24.0,26.0,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,22.3,803.0,722.0,81.0,11.0,3.0,177.0,32.0,108,63.0,26.0,19.0,8.0,576.0,81.0,146.0,683.0,79.0,20.0,7.0,3.0,616.0,1.0,14.0,11.0,36.0,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,20.8,499.0,458.0,41.0,1.0,4.0,125.0,9.0,15,0.0,0.0,0.0,0.0,337.0,98.0,64.0,73.0,405.0,9.0,0.0,4.0,387.0,0.0,14.0,10.0,24.0,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,19.5,844.0,718.0,126.0,13.0,2.0,176.0,19.0,67,11.0,3.0,4.0,3.0,529.0,178.0,137.0,575.0,144.0,16.0,102.0,0.0,659.0,4.0,20.0,20.0,37.0,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,19.4,1144.0,1108.0,36.0,26.0,3.0,224.0,29.0,6,1.0,0.0,0.0,0.0,929.0,112.0,103.0,62.0,1032.0,34.0,8.0,5.0,1018.0,3.0,6.0,18.0,32.0,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,18.9,1031.0,917.0,114.0,3.0,0.0,157.0,10.0,29,0.0,0.0,0.0,0.0,703.0,154.0,174.0,739.0,104.0,59.0,111.0,3.0,869.0,4.0,17.0,14.0,25.0,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,18.8,973.0,932.0,41.0,31.0,0.0,150.0,42.0,1,0.0,0.0,0.0,0.0,748.0,103.0,122.0,34.0,893.0,17.0,10.0,2.0,873.0,2.0,10.0,5.0,7.0,Arsenal,DF,
Dani Ceballos,es ESP,22.0,18.8,1301.0,1199.0,102.0,35.0,4.0,200.0,54.0,72,63.0,12.0,19.0,9.0,949.0,149.0,203.0,73.0,1198.0,16.0,4.0,3.0,1096.0,3.0,17.0,19.0,36.0,Arsenal,MF,
Mesut Özil,de GER,30.0,16.0,891.0,801.0,90.0,30.0,0.0,181.0,17.0,71,57.0,15.0,22.0,13.0,644.0,116.0,131.0,778.0,94.0,10.0,0.0,7.0,754.0,5.0,5.0,12.0,22.0,Arsenal,MF,
