player,nationality,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,31,1.0,21.0,30.0,70.0,291.0,37.0,0.0,1.0,0.0,19.0,23.0,82.6,2.0,6.0,33.3,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Arsenal,FW,
Héctor Bellerín,es ESP,25,1.0,60.0,69.0,87.0,1184.0,392.0,0.0,0.0,0.0,41.0,50.0,82.0,19.0,19.0,100.0,0,0.2,-0.2,1.0,3.0,4.0,1.0,10.0,Arsenal,DF,
Gabriel Dos Santos,br BRA,22,1.0,109.0,116.0,94.0,2223.0,468.0,0.0,0.0,0.0,86.0,90.0,95.6,23.0,26.0,88.5,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Arsenal,DF,
Mohamed Elneny,eg EGY,28,1.0,60.0,64.0,93.8,1353.0,252.0,0.0,0.0,0.0,38.0,40.0,95.0,22.0,24.0,91.7,0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,Arsenal,MF,
Rob Holding,eng ENG,24,1.0,84.0,91.0,92.3,1917.0,436.0,0.0,1.0,0.0,49.0,50.0,98.0,35.0,40.0,87.5,0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,Arsenal,DF,
Bernd Leno,de GER,28,1.0,32.0,32.0,100.0,613.0,207.0,0.0,0.0,0.0,27.0,27.0,100.0,5.0,5.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,GK,
Ainsley Maitland-Niles,eng ENG,22,1.0,34.0,42.0,81.0,715.0,131.0,0.0,1.0,0.0,22.0,24.0,91.7,12.0,17.0,70.6,0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Arsenal,DF,
Kieran Tierney,sco SCO,23,1.0,78.0,89.0,87.6,1673.0,400.0,0.0,0.0,0.0,52.0,55.0,94.5,26.0,34.0,76.5,0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,Arsenal,DF,
Alexandre Lacazette,fr FRA,29,1.0,13.0,18.0,72.2,185.0,10.0,2.0,3.0,66.7,9.0,11.0,81.8,2.0,4.0,50.0,0,0.2,-0.2,1.0,0.0,0.0,0.0,0.0,Arsenal,FW,
Granit Xhaka,ch SUI,27,0.9,53.0,58.0,91.4,998.0,187.0,0.0,1.0,0.0,39.0,40.0,97.5,14.0,17.0,82.4,0,0.1,-0.1,1.0,8.0,1.0,0.0,3.0,Arsenal,MF,
Willian,br BRA,31,0.8,28.0,32.0,87.5,610.0,163.0,0.0,2.0,0.0,18.0,19.0,94.7,10.0,11.0,90.9,2,0.2,1.8,3.0,4.0,1.0,1.0,5.0,Arsenal,FW,
Nicolas Pépé,ci CIV,25,0.2,8.0,9.0,88.9,137.0,40.0,0.0,0.0,0.0,7.0,8.0,87.5,1.0,1.0,100.0,0,0.1,-0.1,1.0,0.0,1.0,0.0,2.0,Arsenal,FW,
Dani Ceballos,es ESP,23,0.1,14.0,19.0,73.7,233.0,56.0,2.0,4.0,50.0,11.0,13.0,84.6,1.0,2.0,50.0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Arsenal,MF,
Eddie Nketiah,eng ENG,21,0.0,1.0,1.0,100.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,FW,
Yves Bissouma,ml MLI,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Lewis Dunk,eng ENG,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Tariq Lamptey,eng ENG,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Solly March,eng ENG,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Neal Maupay,fr FRA,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Mathew Ryan,au AUS,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Leandro Trossard,be BEL,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Adam Webster,eng ENG,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Steven Alzate,co COL,21,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Ben White,eng ENG,22,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Adam Lallana,eng ENG,32,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Aaron Connolly,ie IRL,20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,
Pascal Groß,de GER,29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Alireza Jahanbakhsh,ir IRN,26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Marcos Alonso,es ESP,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,MF
Kepa Arrizabalaga,es ESP,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,GK,
Andreas Christensen,dk DEN,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,
