player,nationality,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,31,1.0,39.0,0.0,4.0,16.0,22.0,5.0,39.0,2.0,5.0,40.0,3.0,0.0,27.0,209.0,133.0,52.0,35.0,67.3,1.0,1.0,Arsenal,FW,
Héctor Bellerín,es ESP,25,1.0,73.0,0.0,15.0,33.0,29.0,1.0,64.0,2.0,4.0,50.0,2.0,0.0,48.0,320.0,237.0,58.0,54.0,93.1,1.0,0.0,Arsenal,DF,
Gabriel Dos Santos,br BRA,22,1.0,121.0,13.0,76.0,53.0,1.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,91.0,446.0,219.0,109.0,108.0,99.1,0.0,0.0,Arsenal,DF,
Mohamed Elneny,eg EGY,28,1.0,68.0,2.0,16.0,47.0,9.0,1.0,68.0,1.0,1.0,100.0,1.0,0.0,57.0,284.0,159.0,59.0,58.0,98.3,0.0,0.0,Arsenal,MF,
Rob Holding,eng ENG,24,1.0,97.0,15.0,56.0,47.0,2.0,0.0,95.0,2.0,2.0,100.0,2.0,0.0,72.0,312.0,189.0,83.0,83.0,100.0,0.0,0.0,Arsenal,DF,
Bernd Leno,de GER,28,1.0,33.0,29.0,33.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,18.0,44.0,16.0,21.0,20.0,95.2,0.0,0.0,Arsenal,GK,
Ainsley Maitland-Niles,eng ENG,22,1.0,52.0,2.0,12.0,30.0,14.0,2.0,48.0,0.0,2.0,0.0,0.0,0.0,30.0,120.0,52.0,44.0,38.0,86.4,2.0,0.0,Arsenal,DF,
Kieran Tierney,sco SCO,23,1.0,96.0,3.0,32.0,60.0,10.0,1.0,87.0,1.0,2.0,50.0,1.0,0.0,70.0,348.0,225.0,80.0,75.0,93.8,0.0,1.0,Arsenal,DF,
Alexandre Lacazette,fr FRA,29,1.0,30.0,0.0,1.0,15.0,15.0,6.0,29.0,2.0,2.0,100.0,2.0,0.0,20.0,51.0,13.0,43.0,24.0,55.8,1.0,3.0,Arsenal,FW,
Granit Xhaka,ch SUI,27,0.9,66.0,3.0,13.0,38.0,18.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,40.0,162.0,88.0,51.0,46.0,90.2,0.0,0.0,Arsenal,MF,
Willian,br BRA,31,0.8,40.0,1.0,7.0,17.0,20.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,29.0,236.0,141.0,36.0,30.0,83.3,1.0,1.0,Arsenal,FW,
Nicolas Pépé,ci CIV,25,0.2,12.0,0.0,0.0,5.0,7.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,8.0,54.0,41.0,11.0,8.0,72.7,1.0,0.0,Arsenal,FW,
Dani Ceballos,es ESP,23,0.1,19.0,0.0,4.0,11.0,4.0,2.0,18.0,1.0,1.0,100.0,1.0,1.0,11.0,68.0,60.0,15.0,15.0,100.0,0.0,0.0,Arsenal,MF,
Eddie Nketiah,eng ENG,21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,50.0,0.0,0.0,Arsenal,FW,
Yves Bissouma,ml MLI,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Lewis Dunk,eng ENG,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Tariq Lamptey,eng ENG,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Solly March,eng ENG,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Neal Maupay,fr FRA,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Mathew Ryan,au AUS,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Leandro Trossard,be BEL,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Adam Webster,eng ENG,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Steven Alzate,co COL,21,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,MF,
Ben White,eng ENG,22,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Adam Lallana,eng ENG,32,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Aaron Connolly,ie IRL,20,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,
Pascal Groß,de GER,29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Alireza Jahanbakhsh,ir IRN,26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,FW,MF
Marcos Alonso,es ESP,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,MF
Kepa Arrizabalaga,es ESP,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,GK,
Andreas Christensen,dk DEN,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,DF,
