player,nationality,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,team,Pos1,Pos2
Pierre-Emerick Aubameyang,ga GAB,30.0,36,35,"3,136",22.0,3.0,2.0,2.0,3.0,1.0,0.63,0.09,0.72,0.57,0.66,15.7,14.2,3.0,0.45,0.09,0.54,0.41,0.49,Arsenal,FW,
David Luiz,br BRA,32.0,33,32,"2,809",2.0,1.0,0.0,0.0,5.0,2.0,0.06,0.03,0.1,0.06,0.1,1.8,1.8,1.0,0.06,0.03,0.09,0.06,0.09,Arsenal,DF,
Bernd Leno,de GER,27.0,30,30,"2,649",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,GK,
Granit Xhaka,ch SUI,26.0,31,30,"2,586",1.0,2.0,0.0,0.0,10.0,0.0,0.03,0.07,0.1,0.03,0.1,0.4,0.4,1.0,0.01,0.03,0.05,0.01,0.05,Arsenal,MF,
Nicolas Pépé,ci CIV,24.0,31,22,"2,010",5.0,6.0,1.0,1.0,4.0,0.0,0.22,0.27,0.49,0.18,0.45,4.7,3.9,4.4,0.21,0.2,0.41,0.17,0.37,Arsenal,FW,
Alexandre Lacazette,fr FRA,28.0,30,22,"1,874",10.0,4.0,0.0,0.0,8.0,0.0,0.48,0.19,0.67,0.48,0.67,8.5,8.5,3.1,0.41,0.15,0.56,0.41,0.56,Arsenal,FW,
Bukayo Saka,eng ENG,17.0,26,19,"1,753",1.0,5.0,0.0,0.0,6.0,0.0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.6,0.07,0.19,0.25,0.07,0.25,Arsenal,DF,FW
Mattéo Guendouzi,fr FRA,20.0,24,19,"1,748",0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,0.7,0.7,1.3,0.03,0.07,0.1,0.03,0.1,Arsenal,MF,
Sead Kolašinac,ba BIH,26.0,26,19,"1,701",0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,0.6,0.6,1.0,0.03,0.05,0.09,0.03,0.09,Arsenal,DF,
Sokratis Papastathopoulos,gr GRE,31.0,19,19,"1,696",2.0,0.0,0.0,0.0,6.0,0.0,0.11,0.0,0.11,0.11,0.11,1.0,1.0,0.2,0.05,0.01,0.06,0.05,0.06,Arsenal,DF,
Dani Ceballos,es ESP,22.0,24,18,"1,692",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.5,0.5,1.8,0.03,0.1,0.12,0.03,0.12,Arsenal,MF,
Mesut Özil,de GER,30.0,18,18,"1,438",1.0,2.0,0.0,0.0,1.0,0.0,0.06,0.13,0.19,0.06,0.19,1.3,1.3,2.3,0.08,0.14,0.22,0.08,0.22,Arsenal,MF,
Lucas Torreira,uy URU,23.0,29,17,"1,512",1.0,1.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.1,0.09,0.07,0.16,0.09,0.16,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,20,15,"1,386",0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.13,0.13,0.0,0.13,0.3,0.3,1.4,0.02,0.09,0.11,0.02,0.11,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,15,13,"1,207",0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,0.8,0.8,0.0,0.06,0.0,0.06,0.06,0.06,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,15,13,"1,158",1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.03,0.06,0.04,0.06,Arsenal,DF,
Calum Chambers,eng ENG,24.0,14,13,"1,102",1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,0.7,0.06,0.06,0.12,0.06,0.12,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,15,12,989,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,0.2,0.2,1.1,0.02,0.1,0.12,0.02,0.12,Arsenal,DF,
Joe Willock,eng ENG,19.0,29,8,857,1.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.21,0.11,0.21,2.3,2.3,0.8,0.24,0.09,0.33,0.24,0.33,Arsenal,MF,FW
Emiliano Martínez,ar ARG,26.0,9,8,771,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,GK,
Eddie Nketiah,eng ENG,20.0,13,7,633,2.0,0.0,0.0,0.0,0.0,1.0,0.28,0.0,0.28,0.28,0.28,3.2,3.2,0.7,0.46,0.09,0.56,0.46,0.56,Arsenal,FW,
Reiss Nelson,eng ENG,19.0,17,7,631,1.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,0.9,0.9,0.7,0.12,0.1,0.22,0.12,0.22,Arsenal,FW,
Martinelli,br BRA,18.0,14,6,663,3.0,0.0,0.0,0.0,1.0,0.0,0.41,0.0,0.41,0.41,0.41,2.2,2.2,0.2,0.3,0.03,0.33,0.3,0.33,Arsenal,FW,
Rob Holding,eng ENG,23.0,8,6,581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.0,0.01,0.01,0.01,Arsenal,DF,
Nacho Monreal,es ESP,33.0,3,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.03,0.08,0.11,0.03,0.11,Arsenal,DF,
Cédric Soares,pt POR,27.0,5,3,249,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Arsenal,DF,
Pablo Marí,es ESP,25.0,2,2,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,DF,
Henrikh Mkhitaryan,am ARM,30.0,3,1,112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.19,0.18,0.37,0.19,0.37,Arsenal,FW,
Emile Smith-Rowe,eng ENG,19.0,2,1,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,MF,
Tyreece John-Jules,eng ENG,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,FW,
Matt Macey,eng ENG,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,GK,
Konstantinos Mavropanos,gr GRE,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,DF,
Zechariah Medley,eng ENG,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,DF,
Matthew Smith,eng ENG,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,MF,
Jack Grealish,eng ENG,23.0,36,36,"3,233",8.0,6.0,0.0,1.0,8.0,0.0,0.22,0.17,0.39,0.22,0.39,6.4,5.6,6.9,0.18,0.19,0.37,0.16,0.35,Aston Villa,FW,MF
Tyrone Mings,eng ENG,26.0,33,33,"2,902",2.0,2.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.7,0.03,0.02,0.06,0.03,0.06,Aston Villa,DF,
Douglas Luiz,br BRA,21.0,36,28,"2,612",3.0,2.0,0.0,0.0,8.0,0.0,0.1,0.07,0.17,0.1,0.17,2.4,2.4,1.4,0.08,0.05,0.13,0.08,0.13,Aston Villa,MF,
John McGinn,sco SCO,24.0,28,27,"2,312",3.0,3.0,0.0,0.0,3.0,0.0,0.12,0.12,0.23,0.12,0.23,3.9,3.9,2.4,0.15,0.09,0.24,0.15,0.24,Aston Villa,MF,
