player,nationality,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,31,1,1,90,1,0,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.4,0.4,0.0,0.42,0.05,0.47,0.42,0.47,Matches,Arsenal
Héctor Bellerín,es ESP,DF,25,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.23,0.23,0.00,0.23,Matches,Arsenal
Gabriel Dos Santos,br BRA,DF,22,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.0,0.10,0.00,0.10,0.10,0.10,Matches,Arsenal
Mohamed Elneny,eg EGY,MF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.24,0.00,0.24,0.24,0.24,Matches,Arsenal
Rob Holding,eng ENG,DF,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Bernd Leno,de GER,GK,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,22,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Kieran Tierney,sco SCO,DF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,29,1,1,86,1,0,0,0,0,0,1.05,0.00,1.05,1.05,1.05,0.5,0.5,0.2,0.48,0.26,0.73,0.48,0.73,Matches,Arsenal
Granit Xhaka,ch SUI,MF,27,1,1,78,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.19,0.13,0.32,0.19,0.32,Matches,Arsenal
Willian,br BRA,FW,31,1,1,75,0,2,0,0,0,0,0.00,2.40,2.40,0.00,2.40,0.6,0.6,0.2,0.71,0.25,0.96,0.71,0.96,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,25,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.45,0.45,0.00,0.45,Matches,Arsenal
Dani Ceballos,es ESP,MF,23,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,21,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal
Sead Kolašinac,ba BIH,"DF,MF",27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Matt Macey,eng ENG,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Bukayo Saka,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Joe Willock,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Yves Bissouma,ml MLI,MF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Brighton
Lewis Dunk,eng ENG,DF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Brighton
Tariq Lamptey,eng ENG,DF,19,1,1,90,0,1,0,0,1,0,0.00,1.00,1.00,0.00,1.00,,,,,,,,,Matches,Brighton
