player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,3,1,0,14,20,20,86,11,24,0,0,0,125,37,59,38.5,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,5,2,0,30,14,1,5,30,20,0,3,0,210,58,34,63.0,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,2,0,0,0,4,0,0,0,0,0,0,0,150,0,0,,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,10,0,0,56,32,0,16,21,27,0,1,0,319,51,52,49.5,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,4,0,0,14,37,4,108,7,19,0,0,0,134,13,41,24.1,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,8,0,0,43,45,13,15,7,19,1,0,0,102,22,64,25.6,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,6,0,0,22,28,10,67,12,22,0,0,0,138,12,37,24.5,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,6,0,0,17,49,0,6,30,13,1,0,0,192,11,18,37.9,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,4,0,0,20,16,5,29,24,18,0,0,0,193,24,18,57.1,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,6,0,0,19,12,1,1,14,13,0,0,0,109,53,28,65.4,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,1,0,0,19,35,0,72,30,28,0,0,0,190,11,22,33.3,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,1,0,0,14,18,6,71,5,10,0,0,0,92,3,3,50.0,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,7,0,0,24,43,1,12,31,24,0,0,0,215,9,18,33.3,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,6,1,1,15,13,0,17,29,27,0,0,0,131,14,13,51.9,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,2,0,0,14,3,0,2,18,9,0,0,0,126,68,22,75.6,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,2,0,0,15,3,1,26,18,16,0,0,0,100,13,17,43.3,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,5,0,0,18,4,0,34,15,18,0,1,0,123,37,27,57.8,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,2,0,0,8,12,0,44,9,11,0,1,0,98,10,10,50.0,Matches,Arsenal
