rank,squad,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,xg_for,xg_against,xg_diff,xg_diff_per90,notes,team
1, Arsenal,1,1,0,0,3,0,+3,3,1.8,0.2,+1.5,+1.54,,Arsenal
2, Leicester City,1,1,0,0,3,0,+3,3,2.2,0.5,+1.8,+1.75,,Arsenal
3, Chelsea,1,1,0,0,3,1,+2,3,,,,,,Arsenal
14, Tottenham,1,0,0,1,0,1,-1,0,1.0,1.4,-0.4,-0.44,,Brighton
15, Southampton,1,0,0,1,0,1,-1,0,1.1,0.8,+0.3,+0.32,,Brighton
16, Brighton,1,0,0,1,1,3,-2,0,,,,,,Brighton
17, Sheffield Utd,1,0,0,1,0,2,-2,0,0.6,1.1,-0.5,-0.47,,Brighton
18, West Ham,1,0,0,1,0,2,-2,0,1.1,1.2,-0.2,-0.18,,Brighton
1, Arsenal,1,1,0,0,3,0,+3,3,1.8,0.2,+1.5,+1.54,,Chelsea
2, Leicester City,1,1,0,0,3,0,+3,3,2.2,0.5,+1.8,+1.75,,Chelsea
3, Chelsea,1,1,0,0,3,1,+2,3,,,,,,Chelsea
4, Wolves,1,1,0,0,2,0,+2,3,1.1,0.6,+0.5,+0.47,,Chelsea
5, Newcastle Utd,1,1,0,0,2,0,+2,3,1.2,1.1,+0.2,+0.18,,Chelsea
6, Liverpool,1,1,0,0,4,3,+1,3,3.3,0.6,+2.7,+2.74,,Crystal Palace
7, Everton,1,1,0,0,1,0,+1,3,1.4,1.0,+0.4,+0.44,,Crystal Palace
8, Crystal Palace,1,1,0,0,1,0,+1,3,0.8,1.1,-0.3,-0.32,,Crystal Palace
9, Aston Villa,0,0,0,0,0,0,0,0,,,,,,Crystal Palace
10, Manchester City,0,0,0,0,0,0,0,0,,,,,,Crystal Palace
5, Newcastle Utd,1,1,0,0,2,0,+2,3,1.2,1.1,+0.2,+0.18,,Everton
6, Liverpool,1,1,0,0,4,3,+1,3,3.3,0.6,+2.7,+2.74,,Everton
7, Everton,1,1,0,0,1,0,+1,3,1.4,1.0,+0.4,+0.44,,Everton
8, Crystal Palace,1,1,0,0,1,0,+1,3,0.8,1.1,-0.3,-0.32,,Everton
9, Aston Villa,0,0,0,0,0,0,0,0,,,,,,Everton
17, Sheffield Utd,1,0,0,1,0,2,-2,0,0.6,1.1,-0.5,-0.47,,Fulham
18, West Ham,1,0,0,1,0,2,-2,0,1.1,1.2,-0.2,-0.18,,Fulham
19, Fulham,1,0,0,1,0,3,-3,0,0.2,1.8,-1.5,-1.54,,Fulham
20, West Brom,1,0,0,1,0,3,-3,0,0.5,2.2,-1.8,-1.75,,Fulham
11, Manchester Utd,0,0,0,0,0,0,0,0,,,,,,Leeds United
12, Burnley,0,0,0,0,0,0,0,0,,,,,,Leeds United
13, Leeds United,1,0,0,1,3,4,-1,0,0.6,3.3,-2.7,-2.74,,Leeds United
14, Tottenham,1,0,0,1,0,1,-1,0,1.0,1.4,-0.4,-0.44,,Leeds United
15, Southampton,1,0,0,1,0,1,-1,0,1.1,0.8,+0.3,+0.32,,Leeds United
1, Arsenal,1,1,0,0,3,0,+3,3,1.8,0.2,+1.5,+1.54,,Leicester City
2, Leicester City,1,1,0,0,3,0,+3,3,2.2,0.5,+1.8,+1.75,,Leicester City
3, Chelsea,1,1,0,0,3,1,+2,3,,,,,,Leicester City
4, Wolves,1,1,0,0,2,0,+2,3,1.1,0.6,+0.5,+0.47,,Leicester City
