player,nationality,position,age,minutes_90s_gk,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches,team
Bernd Leno,de GER,GK,28,1.0,0,0,0,0,0,0.0,0.01,0.0,+0.02,1,1,100.0,28,2,0.0,18.4,4,25.0,23.8,9,1,11.1,1,1.00,16.5,Matches,Arsenal
Mathew Ryan,au AUS,GK,28,1.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton
Kepa Arrizabalaga,es ESP,GK,25,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Vicente Guaita,es ESP,GK,33,1.0,0,0,0,0,0,0.7,0.18,+0.7,+0.71,6,25,24.0,20,0,95.0,62.8,6,100.0,67.3,7,1,14.3,0,0.00,8.3,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,26,1.0,0,0,0,0,0,0.6,0.12,+0.6,+0.60,7,23,30.4,33,4,63.6,52.9,4,50.0,45.8,12,1,8.3,0,0.00,12.6,Matches,Everton
Marek Rodák,sk SVK,GK,23,1.0,3,0,0,1,0,2.0,0.49,-1.0,-0.98,6,12,50.0,22,3,40.9,35.8,4,75.0,56.0,9,0,0.0,1,1.00,11.8,Matches,Fulham
Illan Meslier,fr FRA,GK,20,1.0,4,2,0,1,0,3.7,0.47,-0.3,-0.30,7,20,35.0,47,10,27.7,30.9,12,58.3,42.8,6,0,0.0,2,2.00,13.1,Matches,Leeds United
Kasper Schmeichel,dk DEN,GK,33,1.0,0,0,0,0,0,0.1,0.15,+0.1,+0.15,2,8,25.0,22,3,18.2,30.5,6,66.7,52.7,4,0,0.0,1,1.00,14.7,Matches,Leicester City
Alisson,br BRA,GK,27,1.0,3,0,0,0,0,2.1,0.68,-0.9,-0.95,2,12,16.7,26,5,34.6,34.7,3,100.0,76.3,6,0,0.0,0,0.00,15.3,Matches,Liverpool
Karl Darlow,eng ENG,GK,29,1.0,0,0,0,0,0,1.3,0.44,+1.3,+1.31,6,17,35.3,20,2,70.0,50.2,3,100.0,70.3,18,1,5.6,0,0.00,8.0,Matches,Newcastle Utd
Aaron Ramsdale,eng ENG,GK,22,1.0,2,0,0,1,0,1.3,0.33,-0.7,-0.67,8,19,42.1,18,3,72.2,53.7,6,100.0,73.8,6,0,0.0,0,0.00,11.0,Matches,Sheffield Utd
Alex McCarthy,eng ENG,GK,30,1.0,1,0,0,0,0,0.9,0.29,-0.1,-0.14,8,20,40.0,44,8,38.6,32.8,7,42.9,34.0,8,1,12.5,4,4.00,25.7,Matches,Southampton
Hugo Lloris,fr FRA,GK,33,1.0,1,0,0,0,0,0.5,0.09,-0.5,-0.55,4,7,57.1,22,7,22.7,27.7,8,25.0,32.1,8,0,0.0,2,2.00,21.5,Matches,Tottenham
Sam Johnstone,eng ENG,GK,27,1.0,3,2,0,0,0,3.0,0.26,0.0,+0.04,8,22,36.4,26,3,61.5,48.8,6,100.0,63.5,6,0,0.0,0,0.00,13.3,Matches,West Brom
Łukasz Fabiański,pl POL,GK,35,1.0,2,0,0,0,0,1.9,0.64,-0.1,-0.07,4,10,40.0,22,4,18.2,29.0,7,85.7,58.4,9,0,0.0,0,0.00,10.7,Matches,West Ham
Rui Patrício,pt POR,GK,32,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,11,18,61.1,18,6,66.7,50.4,6,100.0,59.8,14,2,14.3,0,0.00,8.8,Matches,Wolves
