player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,22,90,40,44.4,2.58,1.15,0.22,0.50,2,2,2,15.7,14.2,0.16,+6.3,+5.8,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,2,23,7,30.4,0.74,0.22,0.09,0.29,7,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,1,11,3,27.3,0.38,0.10,0.09,0.33,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,5,49,16,32.7,2.19,0.72,0.08,0.25,7,1,1,4.7,3.9,0.08,+0.3,+0.1,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,10,53,26,49.1,2.55,1.25,0.19,0.38,3,0,0,8.5,8.5,0.16,+1.5,+1.5,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,1,13,4,30.8,0.67,0.21,0.08,0.25,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,0,11,5,45.5,0.57,0.26,0.00,0.00,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,0,4,0,0.0,0.21,0.00,0.00,,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,2,7,2,28.6,0.37,0.11,0.29,1.00,0,0,0,1.0,1.0,0.15,+1.0,+1.0,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,0,13,3,23.1,0.69,0.16,0.00,0.00,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,1,9,3,33.3,0.56,0.19,0.11,0.33,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,1,21,6,28.6,1.25,0.36,0.05,0.17,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,0,4,1,25.0,0.26,0.06,0.00,0.00,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,0,11,3,27.3,0.82,0.22,0.00,0.00,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,1,7,2,28.6,0.54,0.16,0.14,0.50,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,1,12,2,16.7,0.98,0.16,0.08,0.50,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,1,6,2,33.3,0.55,0.18,0.17,0.50,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,1,14,4,28.6,1.47,0.42,0.07,0.25,0,0,0,2.3,2.3,0.17,-1.3,-1.3,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,2,15,5,33.3,2.13,0.71,0.13,0.40,0,0,0,3.2,3.2,0.22,-1.2,-1.2,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,1,11,4,36.4,1.57,0.57,0.09,0.25,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,3,12,5,41.7,1.63,0.68,0.25,0.60,0,0,0,2.2,2.2,0.18,+0.8,+0.8,Matches,Arsenal
Rob Holding,eng ENG,DF,23,6.5,0,1,0,0.0,0.15,0.00,0.00,,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Arsenal
Cédric Soares,pt POR,DF,27,2.8,1,1,1,100.0,0.36,0.36,1.00,1.00,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Matches,Arsenal
Pablo Marí,es ESP,DF,25,1.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,1.2,0,2,0,0.0,1.61,0.00,0.00,,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,Arsenal
