player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,612,888,68.9,9371,2584,14,60,23.3,531,696,76.3,67,132,50.8,3,3.0,0.0,23,27,48,14,95,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,1481,1713,86.5,36775,10642,10,21,47.6,843,894,94.3,628,798,78.7,1,1.0,0.0,4,100,9,1,89,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,742,990,74.9,18293,9806,5,6,83.3,486,491,99.0,251,493,50.9,0,0.0,0.0,0,3,0,0,0,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,1656,1886,87.8,34314,8530,16,35,45.7,1187,1305,91.0,453,546,83.0,2,1.0,+1.0,15,190,23,3,173,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,616,803,76.7,9859,2378,13,43,30.2,511,584,87.5,92,176,52.3,6,4.4,+1.6,39,22,33,9,75,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,387,499,77.6,5867,1065,21,46,45.7,306,360,85.0,60,93,64.5,4,3.1,+0.9,22,27,23,6,36,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,659,844,78.1,10760,3132,12,50,24.0,559,652,85.7,88,142,62.0,5,3.6,+1.4,22,38,21,6,75,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,1018,1144,89.0,20108,5472,15,41,36.6,746,802,93.0,257,301,85.4,1,1.3,-0.3,13,133,19,1,131,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,869,1031,84.3,14321,4425,8,31,25.8,756,849,89.0,105,151,69.5,2,1.0,+1.0,9,52,15,4,83,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,873,973,89.7,19136,5507,8,15,53.3,582,608,95.7,283,350,80.9,0,0.2,-0.2,1,27,1,0,24,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,1096,1301,84.2,22106,5541,8,44,18.2,791,854,92.6,297,403,73.7,2,1.8,+0.2,29,120,30,2,122,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,754,891,84.6,12499,3375,12,31,38.7,626,675,92.7,116,185,62.7,2,2.3,-0.3,36,59,25,1,111,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,793,906,87.5,15694,3307,9,26,34.6,572,630,90.8,212,250,84.8,1,1.1,-0.1,14,45,5,0,64,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,825,999,82.6,14109,4763,18,41,43.9,670,750,89.3,137,208,65.9,2,1.4,+0.6,10,50,13,5,75,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,663,790,83.9,15630,4622,3,18,16.7,392,440,89.1,268,332,80.7,1,0.0,+1.0,1,48,1,0,42,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,558,686,81.3,9186,2754,10,38,26.3,479,545,87.9,69,103,67.0,0,0.3,-0.3,2,32,8,2,49,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,702,865,81.2,14269,4325,7,31,22.6,503,571,88.1,192,263,73.0,1,0.7,+0.3,4,36,5,2,62,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,414,544,76.1,8028,2568,5,23,21.7,311,359,86.6,98,162,60.5,1,1.1,-0.1,6,22,8,5,50,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,299,368,81.3,5216,1448,11,18,61.1,232,268,86.6,56,82,68.3,1,0.8,+0.2,12,31,9,3,35,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,212,293,72.4,5765,3162,4,5,80.0,123,124,99.2,85,164,51.8,0,0.0,0.0,0,6,0,0,0,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,111,140,79.3,1668,248,2,10,20.0,96,114,84.2,13,16,81.3,0,0.7,-0.7,5,6,3,0,9,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,186,234,79.5,2931,812,7,17,41.2,151,173,87.3,28,44,63.6,0,0.7,-0.7,10,8,9,4,26,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,86,138,62.3,1242,373,2,13,15.4,75,109,68.8,9,16,56.3,0,0.2,-0.2,2,2,6,1,11,Matches,Arsenal
Rob Holding,eng ENG,DF,23,6.5,292,338,86.4,6532,1724,2,5,40.0,198,210,94.3,92,123,74.8,0,0.0,0.0,0,13,2,0,14,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,182,201,90.5,2676,1122,4,6,66.7,167,177,94.4,11,18,61.1,0,0.2,-0.2,3,8,0,0,11,Matches,Arsenal
