player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,888,856,32,0,1,243,10,86,2,0,0,0,558,173,157,99,735,23,2,3,612,2,23,23,50,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,1713,1611,102,98,6,251,72,5,0,0,0,0,1235,161,317,409,1228,48,4,10,1481,7,31,9,14,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,990,680,310,59,0,127,22,0,0,0,0,0,612,52,326,153,631,4,0,174,742,5,22,3,1,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,1886,1822,64,52,3,379,76,16,0,0,0,0,1330,288,268,1477,281,80,12,4,1656,8,21,24,26,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,803,722,81,11,3,177,32,108,63,26,19,8,576,81,146,683,79,20,7,3,616,1,14,11,36,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,499,458,41,1,4,125,9,15,0,0,0,0,337,98,64,73,405,9,0,4,387,0,14,10,24,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,844,718,126,13,2,176,19,67,11,3,4,3,529,178,137,575,144,16,102,0,659,4,20,20,37,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,1144,1108,36,26,3,224,29,6,1,0,0,0,929,112,103,62,1032,34,8,5,1018,3,6,18,32,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,1031,917,114,3,0,157,10,29,0,0,0,0,703,154,174,739,104,59,111,3,869,4,17,14,25,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,973,932,41,31,0,150,42,1,0,0,0,0,748,103,122,34,893,17,10,2,873,2,10,5,7,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,1301,1199,102,35,4,200,54,72,63,12,19,9,949,149,203,73,1198,16,4,3,1096,3,17,19,36,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,891,801,90,30,0,181,17,71,57,15,22,13,644,116,131,778,94,10,0,7,754,5,5,12,22,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,906,867,39,25,1,182,10,12,12,3,3,3,616,147,143,87,749,59,2,2,793,2,7,10,17,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,999,816,183,18,0,159,14,17,0,0,0,0,630,231,138,128,673,21,165,6,825,1,24,24,31,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,790,773,17,16,0,109,29,2,0,0,0,0,592,66,132,33,682,48,1,4,663,0,15,4,14,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,686,557,129,16,2,98,5,26,0,0,0,0,420,159,107,50,488,26,113,0,558,2,8,11,29,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,865,773,92,8,0,159,15,34,0,0,0,0,594,144,127,54,684,27,83,1,702,1,10,9,31,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,544,457,87,7,1,75,12,44,0,0,0,0,304,111,129,379,50,30,80,0,414,3,16,4,21,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,368,358,10,1,0,72,8,7,6,1,0,0,272,46,50,42,301,14,2,4,299,5,6,6,8,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,293,211,82,21,1,29,7,0,0,0,0,0,171,10,112,33,190,1,0,46,212,0,14,0,1,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,140,129,11,0,0,22,0,1,0,0,0,0,111,17,12,22,109,6,0,1,111,0,2,3,7,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,234,214,20,4,1,51,9,26,14,6,6,0,164,35,35,31,198,3,1,1,186,0,2,8,9,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,138,136,2,1,1,41,1,22,0,0,0,0,78,32,28,23,102,7,1,1,86,0,0,5,13,Matches,Arsenal
Rob Holding,eng ENG,DF,23,6.5,338,329,9,8,1,39,12,0,0,0,0,0,269,20,49,41,275,14,1,0,292,2,10,3,2,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,201,175,26,1,0,41,1,4,0,0,0,0,145,38,18,162,11,1,25,1,182,1,0,1,5,Matches,Arsenal
Cédric Soares,pt POR,DF,27,2.8,133,112,21,3,0,16,6,18,0,0,0,0,66,29,38,19,83,10,18,1,94,0,1,1,7,Matches,Arsenal
Pablo Marí,es ESP,DF,25,1.3,91,90,1,1,0,4,3,0,0,0,0,0,61,15,15,80,9,2,0,0,81,0,2,0,1,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,1.2,77,73,4,1,2,13,3,4,2,0,2,0,62,6,9,20,52,2,1,0,58,2,3,0,5,Matches,Arsenal
Emile Smith-Rowe,eng ENG,MF,19,1.1,36,36,0,0,0,8,1,1,0,0,0,0,27,6,3,3,32,1,0,0,30,0,1,1,1,Matches,Arsenal
Jack Grealish,eng ENG,"FW,MF",23,35.9,1538,1335,203,74,5,345,83,140,78,48,6,9,1071,214,253,103,1363,20,30,7,1217,5,24,27,50,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,26,32.2,1333,1283,50,47,2,193,58,8,0,0,0,0,890,128,315,1071,157,67,3,3,1055,3,42,16,23,Matches,Aston Villa
Douglas Luiz,br BRA,MF,21,29.0,1216,1151,65,44,2,177,58,24,3,0,1,0,696,246,274,123,979,70,6,13,984,2,28,14,12,Matches,Aston Villa
John McGinn,sco SCO,MF,24,25.7,772,700,72,30,3,168,74,64,25,16,4,2,446,113,213,550,174,25,4,4,584,7,17,10,23,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,25.5,1219,978,241,33,0,218,34,81,10,7,0,2,605,290,324,789,133,77,198,5,894,4,25,18,41,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,22.8,615,574,41,3,0,154,30,106,17,7,5,0,331,134,150,95,450,29,16,4,402,4,28,9,47,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,22.7,853,748,105,18,0,118,18,13,0,0,0,0,498,138,217,83,600,44,87,5,674,0,20,10,15,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,1026,807,219,13,1,139,26,91,1,0,0,0,439,225,362,94,629,68,205,7,687,8,35,18,51,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,445,425,20,2,1,90,22,65,10,5,2,0,254,86,105,22,361,28,8,9,295,2,17,11,23,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,614,342,272,76,0,62,17,0,0,0,0,0,210,22,382,28,461,1,0,95,350,2,22,1,0,Matches,Aston Villa
