player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,54,1.55,38,0,7,4,5,9,0.26,6,0,0,2,1,0,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,9,0.29,8,0,0,1,0,4,0.13,4,0,0,0,0,0,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,39,1.36,33,1,2,1,2,4,0.14,3,0,0,0,1,0,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,66,2.96,38,13,9,3,3,9,0.40,8,1,0,0,0,0,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,58,2.79,36,0,5,9,8,13,0.62,5,0,3,4,1,0,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,45,2.31,32,2,7,2,2,7,0.36,6,0,1,0,0,0,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,34,1.75,26,0,3,2,3,2,0.10,1,0,0,0,1,0,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,18,0.95,18,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,4,0.21,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,47,2.50,32,12,0,1,2,6,0.32,5,1,0,0,0,0,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,63,3.94,42,17,2,0,2,7,0.44,6,1,0,0,0,0,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,28,1.67,19,3,2,2,2,2,0.12,2,0,0,0,0,0,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,20,1.30,17,1,1,0,1,2,0.13,2,0,0,0,0,0,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,3,0.22,2,0,0,1,0,1,0.07,0,0,0,1,0,0,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,14,1.09,11,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,15,1.23,9,2,0,4,0,2,0.16,1,0,0,1,0,0,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,11,1.00,8,1,2,0,0,3,0.27,2,1,0,0,0,0,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,31,3.26,26,0,3,1,1,3,0.32,3,0,0,0,0,0,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,11,1.56,7,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,21,3.00,12,4,2,2,1,1,0.14,0,0,0,1,0,0,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,8,1.09,5,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches,Arsenal
