player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,39,24,15,14,10,12,50,24.0,38,573,130,22.7,113,256,204,59,2,0,57,11,50,16,0,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,33,20,22,10,1,10,26,38.5,16,191,66,34.6,143,43,5,63,40,0,23,30,63,183,3,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,0,0,0,0,0,0,3,0.0,3,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,46,27,27,15,4,18,55,32.7,37,433,126,29.1,157,232,44,55,17,1,38,21,67,85,0,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,30,19,14,13,3,11,23,47.8,12,354,89,25.1,94,156,104,20,2,0,18,7,37,3,0,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,23,19,6,12,5,4,17,23.5,13,464,114,24.6,55,220,189,13,0,0,13,7,30,14,0,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,38,22,20,11,7,13,33,39.4,20,288,84,29.2,105,106,77,25,4,0,21,12,50,21,1,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,24,13,11,9,4,10,36,27.8,26,384,109,28.4,158,175,51,40,7,0,33,30,54,48,0,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,35,18,22,6,7,12,25,48.0,13,230,67,29.1,116,81,33,23,5,0,18,24,59,45,1,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,23,13,17,5,1,11,25,44.0,14,181,51,28.2,121,55,5,41,22,0,19,14,37,108,0,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,49,28,25,17,7,17,62,27.4,45,445,120,27.0,197,191,57,29,4,0,25,30,79,22,1,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,13,10,9,4,0,2,19,10.5,17,305,63,20.7,67,178,60,9,0,0,9,5,18,3,0,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,37,24,17,16,4,12,34,35.3,22,403,102,25.3,156,200,47,29,9,0,20,31,68,30,1,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,41,27,30,9,2,14,42,33.3,28,297,84,28.3,179,86,32,29,5,0,24,29,70,41,0,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,14,9,9,4,1,2,13,15.4,11,108,36,33.3,52,50,6,15,7,0,8,18,32,111,2,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,23,16,12,7,4,9,31,29.0,22,183,46,25.1,71,87,25,28,4,0,24,18,41,34,0,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,12.2,25,18,14,8,3,9,12,75.0,3,143,51,35.7,77,41,25,21,7,0,14,15,40,61,0,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,11.0,21,11,12,5,4,10,15,66.7,5,126,39,31.0,62,51,13,22,4,0,18,9,30,44,0,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,9.5,22,15,6,10,6,4,20,20.0,16,242,67,27.7,76,128,38,19,5,1,14,3,25,12,0,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,8.6,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,2,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,7.0,10,7,4,5,1,2,7,28.6,5,163,39,23.9,11,78,74,5,0,0,5,1,11,4,0,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,7.0,12,6,8,3,1,8,14,57.1,6,164,31,18.9,52,69,43,13,1,0,12,3,15,2,0,Matches,Arsenal
Martinelli,br BRA,FW,18,7.4,23,13,12,9,2,6,17,35.3,11,247,69,27.9,88,101,58,20,1,0,19,3,26,7,0,Matches,Arsenal
Rob Holding,eng ENG,DF,23,6.5,6,3,5,1,0,2,3,66.7,1,47,14,29.8,32,10,5,19,6,0,13,5,11,45,2,Matches,Arsenal
Nacho Monreal,es ESP,DF,33,3.0,4,4,3,1,0,1,3,33.3,2,34,10,29.4,19,13,2,3,1,0,2,3,7,17,0,Matches,Arsenal
Cédric Soares,pt POR,DF,27,2.8,6,5,2,4,0,2,5,40.0,3,55,15,27.3,23,26,6,10,0,0,10,3,9,2,0,Matches,Arsenal
Pablo Marí,es ESP,DF,25,1.3,3,1,2,1,0,1,2,50.0,1,11,3,27.3,6,4,1,1,0,0,1,1,4,14,0,Matches,Arsenal
Henrikh Mkhitaryan,am ARM,FW,30,1.2,0,0,0,0,0,0,3,0.0,3,32,8,25.0,4,16,12,2,0,0,2,0,0,1,0,Matches,Arsenal
Emile Smith-Rowe,eng ENG,MF,19,1.1,1,1,1,0,0,1,3,33.3,2,22,7,31.8,6,10,6,1,0,0,1,1,2,3,0,Matches,Arsenal
Jack Grealish,eng ENG,"FW,MF",23,35.9,36,28,13,14,9,8,31,25.8,23,574,154,26.8,161,231,182,55,12,0,43,25,61,13,1,Matches,Aston Villa
Tyrone Mings,eng ENG,DF,26,32.2,25,17,18,6,1,10,18,55.6,8,160,66,41.3,106,43,11,72,55,2,17,33,58,223,7,Matches,Aston Villa
Douglas Luiz,br BRA,MF,21,29.0,52,33,34,14,4,19,66,28.8,47,592,155,26.2,263,263,66,64,18,1,46,36,88,44,2,Matches,Aston Villa
John McGinn,sco SCO,MF,24,25.7,59,41,24,22,13,20,66,30.3,46,508,144,28.3,137,254,117,32,2,0,30,25,84,20,1,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,25.5,57,33,38,16,3,20,56,35.7,36,372,109,29.3,184,145,43,68,9,0,59,60,117,88,1,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,22.8,17,10,10,5,2,5,24,20.8,19,350,74,21.1,70,163,117,18,1,0,17,12,29,12,0,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,22.7,27,18,20,7,0,6,16,37.5,10,193,63,32.6,107,65,21,55,23,0,32,21,48,83,3,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,82,38,50,22,10,34,74,45.9,40,416,115,27.6,228,133,55,65,13,0,52,48,130,87,1,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,14,10,2,6,6,0,5,0.0,5,313,78,24.9,17,145,151,18,6,0,12,4,18,26,0,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,42,28,20,14,8,7,42,16.7,35,530,129,24.3,163,231,136,41,2,0,39,26,68,17,0,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,65,47,32,29,4,15,68,22.1,53,491,168,34.2,212,240,39,61,11,0,50,38,103,34,1,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,21,14,5,12,4,8,24,33.3,16,224,38,17.0,68,103,53,27,6,0,21,12,33,24,0,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,27,22,23,2,2,11,22,50.0,11,182,73,40.1,112,59,11,46,22,1,24,20,47,114,5,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,9,4,7,2,0,5,11,45.5,6,81,29,35.8,54,26,1,26,19,0,7,29,38,111,2,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,12.1,19,9,14,5,0,9,21,42.9,12,121,33,27.3,61,53,7,38,5,0,33,20,39,32,0,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,25,17,17,6,2,10,22,45.5,12,109,28,25.7,56,40,13,11,5,0,6,13,38,29,0,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,9,7,1,6,2,1,9,11.1,8,173,45,26.0,7,84,82,8,1,0,7,1,10,6,0,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,2,2,0,2,0,0,3,0.0,3,88,19,21.6,3,50,35,5,1,0,4,0,2,3,0,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,3,2,1,1,1,2,9,22.2,7,119,17,14.3,43,52,24,3,0,0,3,3,6,6,0,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,9,5,6,2,1,1,13,7.7,12,106,22,20.8,36,58,12,3,0,0,3,5,14,4,1,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,5,2,3,1,1,0,4,0.0,4,61,18,29.5,24,18,19,6,0,0,6,0,5,1,0,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,0,0,0,0,0,0,1,0.0,1,33,9,27.3,6,15,12,2,2,0,0,0,0,2,0,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,1,1,0,1,0,0,1,0.0,1,24,7,29.2,3,7,14,0,0,0,0,0,1,0,0,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,0,0,0,0,0,0,2,0.0,2,10,1,10.0,0,9,1,1,0,0,1,0,0,1,1,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,0,0,0,0,0,0,2,0.0,2,8,1,12.5,8,0,0,1,0,0,1,0,0,0,2,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,15,12,2,6,7,1,14,7.1,13,770,206,26.8,53,323,394,18,2,0,16,3,18,15,0,Matches,Bournemouth
