player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,34.8,1248,29,158,502,673,168,1214,25,49,51.0,29,0,865,6213,3885,1528,939,61.5,58,39,Matches,Arsenal
David Luiz,br BRA,DF,32,31.2,2050,392,1183,972,54,19,1946,4,9,44.4,4,0,1332,9431,5693,1454,1427,98.1,7,6,Matches,Arsenal
Bernd Leno,de GER,GK,27,29.4,1074,973,1067,8,0,0,768,1,2,50.0,1,0,497,1995,1050,444,442,99.5,0,0,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,28.7,2145,126,635,1321,315,18,2095,27,32,84.4,27,2,1528,7434,3612,1643,1559,94.9,10,12,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,22.3,1126,10,141,466,630,111,1043,72,132,54.5,77,7,940,7289,4652,1103,825,74.8,56,64,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,20.8,786,22,97,366,361,116,742,25,46,54.3,27,3,543,2669,1258,906,555,61.3,60,43,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,19.5,1069,40,271,470,405,61,948,31,48,64.6,31,2,726,4770,3010,835,696,83.4,32,37,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,19.4,1357,76,364,858,265,21,1332,29,42,69.0,29,2,1042,7210,3891,1053,993,94.3,9,28,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,18.9,1182,67,359,601,296,31,1071,14,18,77.8,14,0,730,3768,2366,796,744,93.5,10,14,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,18.8,1166,206,707,481,39,13,1126,5,6,83.3,5,0,794,3839,2028,858,839,97.8,4,6,Matches,Arsenal
Dani Ceballos,es ESP,MF,22,18.8,1492,56,346,882,403,21,1397,29,41,70.7,31,4,1083,7449,4007,1134,1074,94.7,12,25,Matches,Arsenal
Mesut Özil,de GER,MF,30,16.0,1016,9,120,529,461,46,931,21,31,67.7,23,3,781,4714,2368,960,799,83.2,27,29,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,16.8,1091,58,306,663,187,31,1061,13,16,81.3,13,1,727,3409,1553,767,709,92.4,11,16,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,15.4,1179,74,450,569,230,18,1002,22,44,50.0,25,2,727,3895,2257,768,731,95.2,13,16,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,13.4,954,124,472,513,31,14,939,2,2,100.0,2,0,589,3454,2115,671,659,98.2,1,2,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2887,1810,548,500,91.2,11,16,Matches,Arsenal
