player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
Pierre-Emerick Aubameyang,ga GAB,FW,30,36,"3,136",87,91.7,34.8,35,89,1,33,0,1.50,51,44,+7,+0.20,-0.12,46.2,51.0,-4.8,-0.14,+0.60,Matches,Arsenal
David Luiz,br BRA,DF,32,33,"2,809",85,82.1,31.2,32,87,1,25,3,1.42,47,38,+9,+0.29,+0.44,41.5,49.8,-8.3,-0.27,-0.45,Matches,Arsenal
Bernd Leno,de GER,GK,27,30,"2,649",88,77.5,29.4,30,88,0,,0,1.33,40,39,+1,+0.03,-0.78,36.7,43.5,-6.8,-0.23,-0.20,Matches,Arsenal
Granit Xhaka,ch SUI,MF,26,31,"2,586",83,75.6,28.7,30,85,1,45,0,1.65,47,31,+16,+0.56,+1.42,39.3,40.6,-1.3,-0.05,+0.58,Matches,Arsenal
Nicolas Pépé,ci CIV,FW,24,31,"2,010",65,58.8,22.3,22,81,9,25,6,1.55,38,30,+8,+0.36,+0.36,30.4,34.5,-4.1,-0.18,0.00,Matches,Arsenal
Alexandre Lacazette,fr FRA,FW,28,30,"1,874",62,54.8,20.8,22,79,8,16,4,1.30,36,25,+11,+0.53,+0.70,30.1,31.3,-1.2,-0.06,+0.28,Matches,Arsenal
Bukayo Saka,eng ENG,"DF,FW",17,26,"1,753",67,51.3,19.5,19,80,7,33,6,1.42,22,18,+4,+0.21,-0.01,21.8,26.4,-4.6,-0.23,-0.10,Matches,Arsenal
Mattéo Guendouzi,fr FRA,MF,20,24,"1,748",73,51.1,19.4,19,87,5,21,5,1.29,24,31,-7,-0.36,-1.17,24.8,29.9,-5.0,-0.26,-0.15,Matches,Arsenal
Sead Kolašinac,ba BIH,DF,26,26,"1,701",65,49.7,18.9,19,81,7,23,3,1.58,28,26,+2,+0.11,-0.21,27.3,23.6,+3.7,+0.20,+0.76,Matches,Arsenal
Sokratis Papastathopoulos,gr GRE,DF,31,19,"1,696",89,49.6,18.8,19,89,0,,13,1.53,27,25,+2,+0.11,-0.21,25.4,27.0,-1.6,-0.09,+0.20,Matches,Arsenal
